size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.09,48.58,58.38,59.96,73.44,52.85,311.11
0.02,0.02,49.49,48.62,42.81,44.08,73.67,44.58,286.1
0.03,0.03,49.43,48.92,61.14,61.91,73.67,54.14,291.9
0.04,0.04,49.23,48.97,73.13,73.92,79.06,58.5,292.67
0.05,0.05,49.41,48.9,61.39,62.24,74.51,54.04,287.61
0.06,0.06,49.73,48.86,45.27,45.94,71.71,46.84,296.21
0.07,0.06,49.79,48.98,46.87,47.35,72.01,47.52,277.85
0.08,0.07,49.65,48.97,54.46,55.01,72.46,51.2,293.7
0.09,0.08,49.53,48.95,59.48,60.16,73.09,53.51,282.69
0.1,0.08,49.48,48.79,53.62,54.56,72.04,50.91,288.41
0.2,0.19,49.75,49.07,53.6,54,71.5,51.09,293.14
0.3,0.3,49.97,49.12,46.41,46.59,71.21,47.6,279.67
0.4,0.42,49.76,48.92,47.44,48.01,71.44,48.03,289.85
0.5,0.52,49.92,49.01,42.71,43.11,71.83,45.53,277.39
0.6,0.71,49.92,49.05,45.4,45.72,71.48,47.01,280.24
0.7,0.89,49.86,49.12,51.29,51.54,71.05,50.09,296.73
0.8,1.03,49.96,49.17,48.56,48.69,70.95,48.77,296.93
0.9,1.23,49.89,49.07,46.64,46.94,71.18,47.73,296.35
1,1.38,50.04,49.19,45.92,45.98,71.17,47.37,284.29
5,4.89,49.55,48.98,58.58,59.19,72.33,53.27,314.74
10,10.14,49.84,48.87,41.17,41.75,72.24,44.59,343.17
15,14.84,49.39,48.52,45.78,47.1,71.92,47.02,366.33
20,20,49.64,48.64,40.68,41.66,72.54,44.23,393.41
25,24.7,49.49,48.47,40.59,41.87,72.86,44.04,417.98
30,29.81,49.41,48.15,35.33,36.93,74.58,40.64,445.86
35,34.54,49.25,48.01,37.1,38.96,74.2,41.68,473.25
40,39.65,49.52,48.3,34.75,36.13,74.82,40.21,494.24
45,44.31,49.21,48.08,38.93,40.8,73.62,42.88,528.45
50,49.55,49.34,48.02,35.37,37.09,74.64,40.61,539.96
55,54.41,48.99,47.62,35.96,38.35,74.84,40.81,580.01
60,59.57,49.08,47.54,32.72,35.04,76,38.61,612.33
65,64.18,48.99,47.6,35.49,37.89,74.95,40.53,627.16
70,69.54,49.17,47.58,31.22,33.4,76.58,37.57,636.69
75,74.33,49.16,47.43,29.78,32.04,77.3,36.45,675.46
80,79.78,48.9,46.92,28.46,31.24,78.19,35.27,697.59
85,84.46,48.81,47.02,31.36,34.25,76.77,37.53,745.8
90,89.75,49.01,46.95,27.35,29.97,78.64,34.47,763.14
95,94.55,48.74,46.53,27.54,30.69,78.83,34.43,784.55
100,100,48.9,46.84,27.67,30.48,78.61,34.64,817.37
