size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.24,39.41,80,80,100,52.77,2.1
0.02,0.02,49.24,48.6,44.38,45.66,74.04,45.37,4.65
0.03,0.03,49.24,48.96,64.3,65.13,78.69,54.24,6.43
0.04,0.04,49.24,49.05,78.17,78.79,82.5,60.04,8.97
0.05,0.05,49.24,49.01,73.15,73.84,80.77,58.06,9.61
0.06,0.06,49.24,48.92,59.32,60.14,78.68,51.64,11.1
0.07,0.06,49.24,49.11,68.35,68.98,80.53,55.67,14.03
0.08,0.07,49.24,49.2,75.67,76.22,81.4,59.23,14.61
0.09,0.08,49.24,49.21,76.4,76.93,81.84,59.45,15.02
0.1,0.08,49.24,49.17,73.83,74.41,80.49,58.57,17.29
0.2,0.19,49.24,49.29,75.33,75.8,81.34,59.1,18.85
0.3,0.3,49.24,49.26,71.17,71.71,79.6,57.55,19.88
0.4,0.42,49.24,49.27,70.15,70.68,79.54,57.07,20.26
0.5,0.52,49.24,49.27,70.15,70.68,79.54,57.07,20.14
0.6,0.71,49.24,49.27,70.15,70.68,79.54,57.07,19.82
0.7,0.89,49.24,49.27,70.15,70.68,79.54,57.07,19.7
0.8,1.03,49.24,49.27,70.15,70.68,79.54,57.07,20.43
0.9,1.23,49.24,49.27,70.15,70.68,79.54,57.07,20.24
1,1.38,49.24,49.27,70.15,70.68,79.54,57.07,19.96
5,4.89,49.24,49.27,70.15,70.68,79.54,57.07,20.26
10,10.14,49.24,49.27,70.15,70.68,79.54,57.07,20.18
15,14.84,49.24,49.27,70.15,70.68,79.54,57.07,20.74
20,20,49.24,49.27,70.15,70.68,79.54,57.07,19.71
25,24.7,49.24,49.27,70.15,70.68,79.54,57.07,19.51
30,29.81,49.24,49.27,70.15,70.68,79.54,57.07,20.03
35,34.54,49.24,49.27,70.15,70.68,79.54,57.07,19.51
40,39.65,49.24,49.27,70.15,70.68,79.54,57.07,19.46
45,44.31,49.24,49.27,70.15,70.68,79.54,57.07,19.52
50,49.55,49.24,49.27,70.15,70.68,79.54,57.07,19.64
55,54.41,49.24,49.27,70.15,70.68,79.54,57.07,19.89
60,59.57,49.24,49.27,70.15,70.68,79.54,57.07,19.7
65,64.18,49.24,49.27,70.15,70.68,79.54,57.07,19.74
70,69.54,49.24,49.27,70.15,70.68,79.54,57.07,19.58
75,74.33,49.24,49.27,70.15,70.68,79.54,57.07,20.42
80,79.78,49.24,49.27,70.15,70.68,79.54,57.07,19.83
85,84.46,49.24,49.27,70.15,70.68,79.54,57.07,19.8
90,89.75,49.24,49.27,70.15,70.68,79.54,57.07,19.46
95,94.55,49.24,49.27,70.15,70.68,79.54,57.07,19.6
100,100,49.24,49.27,70.15,70.68,79.54,57.07,19.61
