dataset, learner, x-axis, y-axis, auc-score
abinit, cart, size, precision, 4606.96
abinit, fft, size, precision, 4816.09
abinit, rf, size, precision, 4785.69
abinit, vfdt, size, precision, 4926.43
abinit, cart, size, recall, 3769.01
abinit, fft, size, recall, 2632.50
abinit, rf, size, recall, 3620.71
abinit, vfdt, size, recall, 7014.96
abinit, cart, size, time, 39918.21
abinit, fft, size, time, 638408.86
abinit, rf, size, time, 54940.98
abinit, vfdt, size, time, 1980.45
abinit, cart, loc, precision, 4607.10
abinit, fft, loc, precision, 4812.08
abinit, rf, loc, precision, 4784.91
abinit, vfdt, loc, precision, 4926.44
abinit, cart, loc, recall, 3761.77
abinit, fft, loc, recall, 2626.93
abinit, rf, loc, recall, 3613.64
abinit, vfdt, loc, recall, 7015.05
abinit, cart, loc, time, 39995.44
abinit, fft, loc, time, 643100.52
abinit, rf, loc, time, 55117.53
abinit, vfdt, loc, time, 1980.54
lammps, cart, size, precision, 5246.65
lammps, fft, size, precision, 4969.28
lammps, rf, size, precision, 4855.38
lammps, vfdt, size, precision, 5026.41
lammps, cart, size, recall, 3091.19
lammps, fft, size, recall, 4338.67
lammps, rf, size, recall, 4336.18
lammps, vfdt, size, recall, 6653.40
lammps, cart, size, time, 23142.46
lammps, fft, size, time, 377726.62
lammps, rf, size, time, 30263.79
lammps, vfdt, size, time, 39623.33
lammps, cart, loc, precision, 5243.27
lammps, fft, loc, precision, 4966.78
lammps, rf, loc, precision, 4851.36
lammps, vfdt, loc, precision, 5025.86
lammps, cart, loc, recall, 3070.61
lammps, fft, loc, recall, 4331.52
lammps, rf, loc, recall, 4330.18
lammps, vfdt, loc, recall, 6647.91
lammps, cart, loc, time, 23145.35
lammps, fft, loc, time, 378266.96
lammps, rf, loc, time, 30275.51
lammps, vfdt, loc, time, 39624.65
libmesh, cart, size, precision, 5097.07
libmesh, fft, size, precision, 5096.04
libmesh, rf, size, precision, 5087.96
libmesh, vfdt, size, precision, 5090.76
libmesh, cart, size, recall, 6864.43
libmesh, fft, size, recall, 7576.23
libmesh, rf, size, recall, 7265.65
libmesh, vfdt, size, recall, 7368.89
libmesh, cart, size, time, 13188.58
libmesh, fft, size, time, 210130.40
libmesh, rf, size, time, 21830.09
libmesh, vfdt, size, time, 123314.42
libmesh, cart, loc, precision, 5097.83
libmesh, fft, loc, precision, 5097.85
libmesh, rf, loc, precision, 5088.75
libmesh, vfdt, loc, precision, 5092.96
libmesh, cart, loc, recall, 6845.75
libmesh, fft, loc, recall, 7556.63
libmesh, rf, loc, recall, 7236.80
libmesh, vfdt, loc, recall, 7340.40
libmesh, cart, loc, time, 13239.79
libmesh, fft, loc, time, 215069.57
libmesh, rf, loc, time, 22022.51
libmesh, vfdt, loc, time, 124982.84
mda, cart, size, precision, 4979.35
mda, fft, size, precision, 4835.72
mda, rf, size, precision, 4996.91
mda, vfdt, size, precision, 4929.88
mda, cart, size, recall, 3928.77
mda, fft, size, recall, 3691.77
mda, rf, size, recall, 3908.43
mda, vfdt, size, recall, 8585.01
mda, cart, size, time, 4709.32
mda, fft, size, time, 74191.00
mda, rf, size, time, 6552.62
mda, vfdt, size, time, 3947.50
mda, cart, loc, precision, 4978.19
mda, fft, loc, precision, 4839.30
mda, rf, loc, precision, 4995.91
mda, vfdt, loc, precision, 4929.48
mda, cart, loc, recall, 3940.96
mda, fft, loc, recall, 3733.04
mda, rf, loc, recall, 3933.88
mda, vfdt, loc, recall, 8584.50
mda, cart, loc, time, 4706.38
mda, fft, loc, time, 73951.45
mda, rf, loc, time, 6544.67
mda, vfdt, loc, time, 3946.07
