size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.24, 49.02, 75.07, 75.79, 80.14, 59.17, 1.23
0.02, 49.24, 48.68, 64.17, 65.33, 75.91, 54.93, 1.85
0.03, 49.23, 48.92, 63.32, 64.24, 76.11, 54.55, 2.59
0.04, 49.24, 48.93, 75.61, 76.35, 81.04, 59.14, 3.15
0.05, 49.24, 48.77, 63.98, 65.07, 75.26, 55.05, 3.83
0.06, 49.25, 49.17, 41.22, 41.90, 77.43, 42.08, 4.57
0.07, 49.23, 48.87, 36.99, 37.77, 80.40, 38.49, 5.18
0.08, 49.25, 49.23, 68.14, 68.72, 77.45, 56.60, 5.82
0.09, 49.24, 48.84, 73.56, 74.47, 79.39, 58.58, 6.59
0.10, 49.24, 48.70, 68.21, 69.33, 76.36, 56.76, 7.21
0.20, 49.23, 48.97, 62.58, 63.46, 76.49, 54.06, 13.66
0.30, 49.23, 49.12, 45.61, 46.32, 76.86, 44.80, 20.11
0.40, 49.24, 49.25, 51.20, 51.85, 74.32, 49.11, 27.24
0.50, 49.24, 48.85, 36.69, 37.60, 76.32, 40.31, 32.81
0.60, 49.24, 49.25, 42.86, 43.57, 73.69, 44.94, 40.77
0.70, 49.24, 49.11, 50.83, 51.67, 72.51, 49.52, 44.96
0.80, 49.23, 49.00, 50.81, 51.74, 73.35, 49.19, 51.32
0.90, 49.24, 49.06, 55.12, 55.93, 75.19, 50.63, 57.91
1.00, 49.24, 49.15, 53.73, 54.49, 74.21, 50.45, 64.30
5.00, 49.24, 48.64, 58.33, 59.65, 72.87, 52.96, 357.50
10.00, 49.24, 48.68, 33.92, 35.21, 76.21, 38.60, 900.38
15.00, 49.24, 48.47, 32.87, 34.23, 76.33, 38.38, 1585.76
20.00, 49.24, 49.00, 18.50, 19.27, 85.21, 24.11, 2342.99
25.00, 49.24, 49.17, 32.37, 33.44, 78.60, 35.72, 2975.10
30.00, 49.24, 42.53, 18.95, 19.56, 85.79, 23.21, 3634.73
35.00, 49.24, 49.10, 24.67, 25.32, 82.47, 29.37, 4263.73
40.00, 49.24, 49.89, 18.17, 18.34, 84.32, 25.61, 4933.17
45.00, 49.24, 49.05, 23.46, 23.99, 82.66, 28.73, 5598.06
50.00, 49.24, 49.57, 19.51, 19.71, 83.28, 27.19, 6342.30
55.00, 49.24, 49.96, 29.85, 29.93, 76.57, 37.08, 7001.38
60.00, 49.24, 50.11, 24.14, 24.06, 79.73, 32.35, 7706.74
65.00, 49.24, 50.23, 22.59, 22.44, 80.70, 30.98, 8311.28
70.00, 49.24, 50.30, 22.92, 22.88, 81.83, 29.00, 9038.25
75.00, 49.24, 35.17, 18.22, 18.09, 84.92, 23.90, 9873.91
80.00, 49.24, 50.02, 23.43, 23.31, 80.50, 30.99, 10771.98
85.00, 49.24, 50.32, 25.25, 25.01, 78.87, 33.52, 11371.09
90.00, 49.24, 50.31, 24.71, 24.47, 79.23, 33.03, 11757.61
95.00, 49.24, 50.63, 20.99, 20.79, 82.06, 28.73, 12367.84
100.00, 49.24, 35.12, 15.48, 15.52, 88.03, 19.23, 13102.87
