size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.24, 24.62, 50.00, 50.00, 100.00, 32.97, 0.53
0.02, 49.24, 0.00, 0.00, 0.00, 100.00, 0.00, 1.01
0.03, 49.24, 29.48, 60.00, 60.00, 100.00, 39.51, 1.39
0.04, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 2.03
0.05, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 2.54
0.06, 49.24, 19.76, 40.00, 40.00, 100.00, 26.44, 3.00
0.07, 49.24, 19.62, 40.00, 40.00, 100.00, 26.31, 3.64
0.08, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 4.19
0.09, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 4.93
0.10, 49.24, 49.24, 100.00, 100.00, 100.00, 65.94, 5.73
0.20, 49.24, 39.45, 80.00, 80.00, 100.00, 52.80, 54.96
0.30, 49.24, 19.75, 40.00, 40.00, 100.00, 26.43, 154.15
0.40, 49.24, 34.54, 70.00, 70.00, 100.00, 46.22, 169.91
0.50, 49.24, 49.45, 39.23, 39.74, 73.50, 43.25, 320.20
0.60, 49.24, 49.31, 43.75, 44.42, 72.66, 45.89, 318.79
0.70, 49.24, 49.24, 53.97, 54.71, 71.99, 51.29, 325.98
0.80, 49.24, 49.24, 47.98, 48.73, 72.06, 48.28, 333.62
0.90, 49.24, 49.16, 45.78, 46.58, 72.29, 47.03, 334.47
1.00, 49.24, 49.28, 41.15, 41.85, 72.99, 44.42, 350.42
5.00, 49.24, 49.25, 56.96, 57.68, 72.83, 52.51, 2621.29
10.00, 49.24, 48.95, 41.09, 42.11, 72.61, 44.53, 4327.07
15.00, 49.24, 48.94, 41.40, 42.43, 72.64, 44.67, 5382.19
20.00, 49.24, 48.83, 40.57, 41.69, 72.84, 44.14, 7175.22
25.00, 49.24, 48.79, 41.47, 42.65, 72.69, 44.65, 9018.14
30.00, 49.24, 48.76, 39.17, 40.35, 73.34, 43.22, 10990.57
35.00, 49.24, 48.70, 39.45, 40.70, 73.13, 43.45, 13224.80
40.00, 49.24, 48.60, 37.27, 38.59, 73.94, 41.97, 15597.81
45.00, 49.24, 48.49, 38.90, 40.34, 73.48, 42.98, 17815.63
50.00, 49.24, 48.44, 36.55, 38.00, 74.21, 41.47, 20145.86
55.00, 49.24, 48.34, 37.04, 38.60, 74.08, 41.77, 22045.44
60.00, 49.24, 48.31, 37.10, 38.68, 74.07, 41.79, 23793.72
65.00, 49.24, 48.45, 38.23, 39.69, 73.63, 42.58, 25771.58
70.00, 49.24, 48.22, 35.54, 37.19, 74.47, 40.84, 27550.28
75.00, 49.24, 48.06, 35.21, 37.00, 74.68, 40.55, 29672.03
80.00, 49.24, 47.83, 34.35, 36.33, 75.08, 39.90, 31305.83
85.00, 49.24, 47.93, 35.30, 37.22, 74.71, 40.56, 32703.55
90.00, 49.24, 47.84, 34.81, 36.80, 74.92, 40.21, 35131.57
95.00, 49.24, 47.73, 33.93, 35.99, 75.31, 39.57, 36232.48
100.00, 49.24, 47.70, 33.69, 35.77, 75.42, 39.39, 37468.76
