dataset, learner, x-axis, y-axis, auc-score
abinit, cart, size, accuracy, 5027.30
abinit, fft, size, accuracy, 4923.50
abinit, rf, size, accuracy, 4983.88
abinit, vfdt, size, accuracy, 4923.51
abinit, cart, size, precision, 4890.22
abinit, fft, size, precision, 4816.09
abinit, rf, size, precision, 4781.65
abinit, vfdt, size, precision, 4837.45
abinit, cart, size, recall, 2715.32
abinit, fft, size, recall, 2632.50
abinit, rf, size, recall, 2426.10
abinit, vfdt, size, recall, 3865.02
abinit, cart, size, f1, 3169.27
abinit, fft, size, f1, 3188.19
abinit, rf, size, f1, 3056.73
abinit, vfdt, size, f1, 4263.55
abinit, cart, size, d2h, 8156.33
abinit, fft, size, d2h, 8067.22
abinit, rf, size, d2h, 8200.97
abinit, vfdt, size, d2h, 7395.31
abinit, cart, loc, accuracy, 5027.30
abinit, fft, loc, accuracy, 4923.50
abinit, rf, loc, accuracy, 4983.88
abinit, vfdt, loc, accuracy, 4923.51
abinit, cart, loc, precision, 4890.22
abinit, fft, loc, precision, 4816.09
abinit, rf, loc, precision, 4781.65
abinit, vfdt, loc, precision, 4837.45
abinit, cart, loc, recall, 2715.32
abinit, fft, loc, recall, 2632.50
abinit, rf, loc, recall, 2426.10
abinit, vfdt, loc, recall, 3865.02
abinit, cart, loc, f1, 3169.27
abinit, fft, loc, f1, 3188.19
abinit, rf, loc, f1, 3056.73
abinit, vfdt, loc, f1, 4263.55
abinit, cart, loc, d2h, 8156.33
abinit, fft, loc, d2h, 8067.22
abinit, rf, loc, d2h, 8200.97
abinit, vfdt, loc, d2h, 7395.31
lammps, cart, size, accuracy, 5144.14
lammps, fft, size, accuracy, 4994.48
lammps, rf, size, accuracy, 5088.11
lammps, vfdt, size, accuracy, 4994.50
lammps, cart, size, precision, 5562.49
lammps, fft, size, precision, 4969.28
lammps, rf, size, precision, 5016.56
lammps, vfdt, size, precision, 4999.17
lammps, cart, size, recall, 2896.47
lammps, fft, size, recall, 4338.67
lammps, rf, size, recall, 3663.11
lammps, vfdt, size, recall, 4572.04
lammps, cart, size, f1, 3151.00
lammps, fft, size, f1, 4350.12
lammps, rf, size, f1, 4128.63
lammps, vfdt, size, f1, 4735.51
lammps, cart, size, d2h, 8340.80
lammps, fft, size, d2h, 7680.88
lammps, rf, size, d2h, 7430.57
lammps, vfdt, size, d2h, 7176.39
lammps, cart, loc, accuracy, 5144.14
lammps, fft, loc, accuracy, 4994.48
lammps, rf, loc, accuracy, 5088.11
lammps, vfdt, loc, accuracy, 4994.50
lammps, cart, loc, precision, 5562.49
lammps, fft, loc, precision, 4969.28
lammps, rf, loc, precision, 5016.56
lammps, vfdt, loc, precision, 4999.17
lammps, cart, loc, recall, 2896.47
lammps, fft, loc, recall, 4338.67
lammps, rf, loc, recall, 3663.11
lammps, vfdt, loc, recall, 4572.04
lammps, cart, loc, f1, 3151.00
lammps, fft, loc, f1, 4350.12
lammps, rf, loc, f1, 4128.63
lammps, vfdt, loc, f1, 4735.51
lammps, cart, loc, d2h, 8340.80
lammps, fft, loc, d2h, 7680.88
lammps, rf, loc, d2h, 7430.57
lammps, vfdt, loc, d2h, 7176.39
libmesh, cart, size, accuracy, 4993.76
libmesh, fft, size, accuracy, 5056.52
libmesh, rf, size, accuracy, 4924.46
libmesh, vfdt, size, accuracy, 5056.49
libmesh, cart, size, precision, 5064.24
libmesh, fft, size, precision, 5096.04
libmesh, rf, size, precision, 4978.89
libmesh, vfdt, size, precision, 4955.92
libmesh, cart, size, recall, 6100.42
libmesh, fft, size, recall, 7576.23
libmesh, rf, size, recall, 6860.90
libmesh, vfdt, size, recall, 6586.78
libmesh, cart, size, f1, 5234.14
libmesh, fft, size, f1, 5952.13
libmesh, rf, size, f1, 5611.10
libmesh, vfdt, size, f1, 5585.63
libmesh, cart, size, d2h, 8140.05
libmesh, fft, size, d2h, 8382.56
libmesh, rf, size, d2h, 8278.52
libmesh, vfdt, size, d2h, 7717.06
libmesh, cart, loc, accuracy, 4993.76
libmesh, fft, loc, accuracy, 5056.52
libmesh, rf, loc, accuracy, 4924.46
libmesh, vfdt, loc, accuracy, 5056.49
libmesh, cart, loc, precision, 5064.24
libmesh, fft, loc, precision, 5096.04
libmesh, rf, loc, precision, 4978.89
libmesh, vfdt, loc, precision, 4955.92
libmesh, cart, loc, recall, 6100.42
libmesh, fft, loc, recall, 7576.23
libmesh, rf, loc, recall, 6860.90
libmesh, vfdt, loc, recall, 6586.78
libmesh, cart, loc, f1, 5234.14
libmesh, fft, loc, f1, 5952.13
libmesh, rf, loc, f1, 5611.10
libmesh, vfdt, loc, f1, 5585.63
libmesh, cart, loc, d2h, 8140.05
libmesh, fft, loc, d2h, 8382.56
libmesh, rf, loc, d2h, 8278.52
libmesh, vfdt, loc, d2h, 7717.06
mda, cart, size, accuracy, 4972.64
mda, fft, size, accuracy, 4891.53
mda, rf, size, accuracy, 4972.45
mda, vfdt, size, accuracy, 4891.51
mda, cart, size, precision, 4831.45
mda, fft, size, precision, 4835.72
mda, rf, size, precision, 4832.47
mda, vfdt, size, precision, 4806.04
mda, cart, size, recall, 4269.23
mda, fft, size, recall, 3691.77
mda, rf, size, recall, 4024.29
mda, vfdt, size, recall, 4174.82
mda, cart, size, f1, 4415.57
mda, fft, size, f1, 3939.64
mda, rf, size, f1, 4237.81
mda, vfdt, size, f1, 4385.68
mda, cart, size, d2h, 7474.98
mda, fft, size, d2h, 7756.91
mda, rf, size, d2h, 7642.27
mda, vfdt, size, d2h, 7477.34
mda, cart, loc, accuracy, 4972.64
mda, fft, loc, accuracy, 4891.53
mda, rf, loc, accuracy, 4972.45
mda, vfdt, loc, accuracy, 4891.51
mda, cart, loc, precision, 4831.45
mda, fft, loc, precision, 4835.72
mda, rf, loc, precision, 4832.47
mda, vfdt, loc, precision, 4806.04
mda, cart, loc, recall, 4269.23
mda, fft, loc, recall, 3691.77
mda, rf, loc, recall, 4024.29
mda, vfdt, loc, recall, 4174.82
mda, cart, loc, f1, 4415.57
mda, fft, loc, f1, 3939.64
mda, rf, loc, f1, 4237.81
mda, vfdt, loc, f1, 4385.68
mda, cart, loc, d2h, 7474.98
mda, fft, loc, d2h, 7756.91
mda, rf, loc, d2h, 7642.27
mda, vfdt, loc, d2h, 7477.34
