size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.86, 49.86, 54.94, 55.04, 75.31, 50.65, 0.99
0.02, 49.86, 49.79, 91.93, 92.05, 95.39, 63.76, 1.24
0.03, 49.86, 49.69, 89.84, 90.02, 92.71, 63.41, 1.73
0.04, 49.86, 49.86, 100.00, 100.00, 100.00, 66.50, 2.10
0.05, 49.86, 49.70, 95.99, 96.07, 96.56, 65.34, 2.42
0.06, 49.86, 49.86, 100.00, 100.00, 100.00, 66.50, 2.95
0.07, 49.86, 49.86, 100.00, 100.00, 100.00, 66.50, 3.48
0.08, 49.86, 49.89, 97.71, 97.75, 98.08, 65.93, 3.64
0.09, 49.86, 49.86, 100.00, 100.00, 100.00, 66.50, 4.10
0.10, 49.86, 49.86, 100.00, 100.00, 100.00, 66.50, 4.30
0.20, 49.86, 49.86, 100.00, 100.00, 100.00, 66.50, 8.29
0.30, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 12.60
0.40, 49.95, 50.03, 66.20, 66.08, 79.51, 55.49, 16.39
0.50, 49.95, 50.07, 50.03, 49.96, 70.98, 49.88, 20.78
0.60, 49.95, 49.84, 62.23, 62.31, 76.18, 54.38, 24.92
0.70, 49.95, 49.98, 54.99, 55.01, 71.13, 52.30, 31.13
0.80, 49.95, 50.10, 50.38, 50.28, 71.34, 49.93, 32.92
0.90, 49.95, 24.92, 25.87, 25.95, 85.51, 25.33, 40.66
1.00, 49.95, 30.11, 28.62, 28.51, 82.68, 29.20, 40.73
5.00, 49.95, 50.04, 31.61, 31.71, 78.36, 36.32, 208.10
10.00, 49.95, 49.62, 52.46, 52.75, 77.10, 48.53, 452.56
15.00, 49.95, 49.10, 48.57, 49.19, 75.12, 46.76, 760.48
20.00, 49.95, 49.32, 49.78, 50.29, 74.49, 47.78, 1131.50
25.00, 49.95, 49.84, 34.70, 34.86, 76.78, 38.72, 1520.81
30.00, 49.95, 49.60, 48.33, 48.59, 77.72, 45.45, 1945.87
35.00, 49.95, 49.91, 32.29, 32.29, 77.59, 36.85, 2379.99
40.00, 49.95, 50.25, 47.21, 47.04, 73.53, 47.31, 2818.50
45.00, 49.95, 50.49, 31.58, 31.34, 78.81, 35.77, 3323.36
50.00, 49.95, 50.44, 49.81, 49.61, 76.47, 47.32, 3701.62
55.00, 49.95, 50.58, 40.29, 39.86, 73.85, 43.59, 4184.84
60.00, 49.95, 50.16, 43.40, 43.40, 73.82, 45.03, 4576.67
65.00, 49.95, 50.34, 41.45, 41.34, 73.67, 44.09, 5003.04
70.00, 49.95, 50.13, 47.95, 47.87, 73.86, 47.55, 5525.50
75.00, 49.95, 50.37, 45.42, 45.15, 78.86, 44.10, 5883.32
80.00, 49.95, 50.41, 49.85, 49.54, 78.85, 46.46, 6305.69
85.00, 49.95, 50.78, 35.95, 35.49, 79.60, 38.55, 6780.59
90.00, 49.95, 50.38, 52.23, 51.96, 78.67, 47.77, 7301.09
95.00, 49.95, 50.67, 41.90, 41.53, 77.40, 42.65, 7718.57
100.00, 49.95, 50.39, 42.96, 42.98, 79.46, 41.69, 8046.98
