size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 178.02
0.02, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 185.76
0.03, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 189.32
0.04, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 177.73
0.05, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 179.60
0.06, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 179.60
0.07, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 181.49
0.08, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 178.99
0.09, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 177.55
0.10, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 177.56
0.20, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 180.74
0.30, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 179.86
0.40, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 178.82
0.50, 49.79, 14.87, 30.00, 30.00, 100.00, 19.87, 178.64
0.60, 49.95, 49.95, 100.00, 100.00, 100.00, 66.57, 180.83
0.70, 50.13, 45.04, 90.00, 90.00, 100.00, 59.99, 181.78
0.80, 49.90, 9.93, 20.00, 20.00, 100.00, 13.26, 182.89
0.90, 50.05, 0.00, 0.00, 0.00, 100.00, 0.00, 179.55
1.00, 50.05, 0.00, 0.00, 0.00, 100.00, 0.00, 180.51
5.00, 50.80, 50.95, 40.88, 39.30, 71.21, 45.20, 284.01
10.00, 51.04, 51.00, 51.92, 49.85, 69.71, 51.25, 419.43
15.00, 51.03, 51.08, 46.92, 44.91, 69.69, 48.81, 524.83
20.00, 51.19, 51.15, 51.01, 48.66, 69.35, 50.93, 630.68
25.00, 50.99, 51.12, 44.56, 42.60, 70.41, 47.34, 750.40
30.00, 51.45, 51.82, 40.60, 37.69, 70.73, 45.28, 851.10
35.00, 51.23, 51.82, 35.17, 32.69, 73.08, 41.54, 960.38
40.00, 51.30, 51.85, 39.14, 36.48, 71.91, 44.04, 1063.07
45.00, 51.12, 51.73, 37.38, 35.06, 72.86, 42.67, 1169.58
50.00, 50.89, 51.33, 36.77, 34.92, 73.11, 42.19, 1316.73
55.00, 50.88, 51.66, 30.53, 28.70, 75.97, 37.72, 1404.31
60.00, 50.87, 51.55, 31.84, 30.02, 75.44, 38.63, 1490.17
65.00, 50.81, 51.62, 29.53, 27.82, 76.70, 36.76, 1591.38
70.00, 50.87, 51.60, 31.55, 29.71, 75.59, 38.38, 1702.25
75.00, 50.87, 51.48, 33.30, 31.44, 74.98, 39.49, 1781.60
80.00, 50.61, 51.14, 33.65, 32.28, 75.18, 39.55, 1884.59
85.00, 50.61, 51.13, 31.07, 29.72, 76.04, 37.89, 2008.63
90.00, 50.52, 51.03, 31.58, 30.38, 76.27, 37.93, 2080.71
95.00, 50.51, 51.07, 31.54, 30.37, 76.33, 37.86, 2175.45
100.00, 50.40, 50.97, 28.34, 27.41, 77.75, 35.47, 2340.97
