size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 99.97
0.02, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 92.64
0.03, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 102.67
0.04, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 91.52
0.05, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 89.63
0.06, 50.31, 45.44, 90.00, 90.00, 100.00, 60.35, 99.03
0.07, 50.24, 30.41, 60.00, 60.00, 100.00, 40.33, 86.27
0.08, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 84.71
0.09, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 87.28
0.10, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 91.62
0.20, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 92.43
0.30, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 88.53
0.40, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 85.72
0.50, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 91.47
0.60, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 88.81
0.70, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 93.62
0.80, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 87.38
0.90, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 89.18
1.00, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 87.84
5.00, 50.57, 50.57, 100.00, 100.00, 100.00, 67.13, 102.66
10.00, 50.03, 50.68, 48.59, 48.45, 72.47, 48.86, 100.08
15.00, 50.34, 50.52, 85.12, 85.31, 86.79, 63.32, 108.83
20.00, 50.12, 51.57, 27.19, 26.42, 78.05, 34.89, 108.24
25.00, 50.11, 50.39, 82.33, 82.89, 85.04, 62.40, 108.64
30.00, 50.31, 51.92, 34.92, 33.76, 79.00, 38.80, 120.24
35.00, 49.74, 50.19, 86.68, 88.02, 89.25, 63.45, 120.13
40.00, 49.97, 50.85, 48.38, 48.47, 75.82, 47.61, 123.28
45.00, 49.59, 50.08, 84.14, 85.78, 87.52, 62.68, 123.62
50.00, 50.76, 52.33, 30.77, 28.79, 75.20, 38.52, 128.95
55.00, 49.75, 50.22, 79.93, 81.08, 85.34, 61.15, 138.46
60.00, 50.04, 50.94, 37.28, 36.89, 73.75, 42.38, 140.27
65.00, 49.71, 50.18, 82.13, 83.44, 85.85, 62.11, 150.71
70.00, 50.34, 51.23, 35.55, 34.63, 74.54, 40.99, 157.83
75.00, 49.62, 50.24, 69.20, 70.28, 79.84, 57.30, 155.47
80.00, 49.75, 50.49, 38.88, 39.24, 74.38, 42.96, 158.39
85.00, 49.34, 50.02, 71.03, 72.73, 81.73, 57.67, 171.59
90.00, 49.63, 50.39, 40.58, 41.09, 73.53, 44.27, 168.46
95.00, 49.18, 49.88, 70.77, 72.79, 81.51, 57.58, 168.06
100.00, 49.34, 50.05, 33.83, 34.79, 77.20, 38.79, 172.13
