size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.39, 45.61, 90.00, 90.00, 100.00, 60.48, 0.42
0.02, 49.66, 39.32, 80.00, 80.00, 100.00, 52.69, 0.46
0.03, 49.29, 49.49, 80.03, 80.20, 88.88, 58.92, 0.66
0.04, 49.19, 49.30, 92.25, 92.34, 93.04, 64.10, 0.72
0.05, 49.05, 49.37, 81.64, 81.68, 87.60, 60.34, 0.82
0.06, 48.96, 49.11, 93.08, 93.19, 93.75, 64.15, 0.93
0.07, 48.90, 48.90, 100.00, 100.00, 100.00, 65.64, 1.07
0.08, 48.90, 48.90, 100.00, 100.00, 100.00, 65.64, 1.21
0.09, 48.90, 48.90, 100.00, 100.00, 100.00, 65.64, 1.28
0.10, 48.90, 48.90, 100.00, 100.00, 100.00, 65.64, 1.42
0.20, 48.92, 49.15, 93.76, 93.83, 94.28, 64.35, 2.55
0.30, 48.92, 49.23, 82.68, 83.09, 86.13, 61.36, 3.44
0.40, 48.92, 49.12, 93.89, 93.97, 94.51, 64.33, 4.70
0.50, 48.92, 48.94, 68.68, 69.50, 77.87, 56.66, 5.67
0.60, 48.92, 48.67, 60.19, 61.35, 75.82, 53.01, 6.78
0.70, 48.92, 48.49, 80.19, 81.11, 85.80, 59.81, 7.77
0.80, 48.92, 48.82, 90.14, 90.63, 91.86, 63.13, 9.15
0.90, 48.92, 49.18, 70.55, 71.24, 78.31, 57.61, 9.86
1.00, 48.92, 49.20, 75.32, 75.87, 81.98, 58.92, 11.07
5.00, 48.92, 49.26, 77.97, 78.35, 83.07, 59.86, 53.93
10.00, 48.92, 48.56, 37.80, 39.06, 74.64, 41.79, 110.19
15.00, 48.92, 49.47, 57.56, 58.07, 72.82, 52.89, 162.26
20.00, 48.92, 48.09, 43.98, 45.84, 73.29, 45.57, 222.14
25.00, 48.92, 48.62, 30.85, 31.99, 76.99, 37.05, 288.42
30.00, 48.92, 33.56, 15.60, 16.51, 88.43, 19.52, 345.77
35.00, 48.92, 48.98, 36.98, 37.78, 75.22, 41.05, 433.12
40.00, 48.92, 43.97, 16.04, 16.72, 87.42, 21.22, 531.01
45.00, 48.92, 49.36, 37.68, 38.19, 75.41, 40.97, 608.21
50.00, 48.92, 50.06, 31.87, 31.97, 78.63, 35.92, 688.25
55.00, 48.92, 50.70, 37.56, 36.91, 72.79, 42.96, 782.34
60.00, 48.92, 50.53, 40.86, 40.40, 72.27, 44.81, 861.79
65.00, 48.92, 50.69, 34.83, 34.44, 75.13, 39.95, 935.15
70.00, 48.92, 50.88, 32.96, 32.40, 75.63, 38.71, 1059.69
75.00, 48.92, 50.70, 40.81, 40.17, 72.02, 44.93, 1196.38
80.00, 48.92, 51.20, 37.09, 36.32, 73.68, 42.10, 1273.08
85.00, 48.92, 51.35, 32.25, 31.57, 76.46, 37.67, 1384.92
90.00, 48.92, 46.19, 20.41, 19.99, 83.86, 26.25, 1443.62
95.00, 48.92, 45.06, 25.13, 24.99, 81.15, 30.20, 1602.32
100.00, 48.92, 50.97, 23.19, 22.94, 81.50, 29.91, 1710.87
