size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 48.92, 43.88, 90.00, 90.00, 100.00, 58.95, 0.16
0.02, 48.92, 38.93, 80.00, 80.00, 100.00, 52.33, 0.33
0.03, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 0.39
0.04, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 0.41
0.05, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 0.51
0.06, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 0.59
0.07, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 0.59
0.08, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 0.63
0.09, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 0.70
0.10, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 0.76
0.20, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 1.41
0.30, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 1.99
0.40, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 2.86
0.50, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 3.58
0.60, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 4.44
0.70, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 5.35
0.80, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 6.28
0.90, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 7.55
1.00, 48.92, 48.92, 100.00, 100.00, 100.00, 65.65, 8.73
5.00, 48.92, 48.97, 59.91, 60.91, 73.73, 53.64, 390.18
10.00, 48.92, 48.94, 42.21, 43.25, 72.46, 45.13, 518.03
15.00, 48.92, 49.25, 49.70, 50.45, 72.77, 48.85, 852.74
20.00, 48.92, 49.03, 43.10, 44.02, 72.66, 45.48, 1183.39
25.00, 48.92, 48.67, 39.22, 40.42, 74.21, 42.64, 1726.10
30.00, 48.92, 47.94, 37.60, 39.54, 74.41, 41.79, 2218.52
35.00, 48.92, 48.18, 40.52, 42.28, 73.51, 43.71, 2620.81
40.00, 48.92, 48.04, 38.24, 40.09, 73.93, 42.37, 3166.96
45.00, 48.92, 48.48, 40.04, 41.54, 73.19, 43.67, 3477.98
50.00, 48.92, 47.84, 38.20, 40.30, 74.14, 42.21, 3590.35
55.00, 48.92, 48.21, 38.64, 40.35, 73.92, 42.58, 3725.84
60.00, 48.92, 47.67, 38.18, 40.39, 74.16, 42.18, 4042.61
65.00, 48.92, 47.67, 37.75, 39.95, 74.31, 41.89, 4099.81
70.00, 48.92, 47.71, 36.52, 38.70, 74.63, 41.14, 4232.80
75.00, 48.92, 47.55, 39.20, 41.56, 73.85, 42.82, 4242.62
80.00, 48.92, 47.30, 35.52, 38.03, 75.03, 40.41, 4411.75
85.00, 48.92, 47.59, 37.53, 39.81, 74.29, 41.79, 4575.33
90.00, 48.92, 47.23, 35.40, 37.99, 75.14, 40.29, 4747.17
95.00, 48.92, 47.18, 36.91, 39.59, 74.68, 41.24, 4933.24
100.00, 48.92, 46.85, 33.63, 36.49, 76.04, 38.89, 5075.78
