data-size, loc, accuracy, precision, recall, false-alarm, d2h, f1-score, training-time
0.01,0.01,48.83,48.83,100,100,100,65.57,4201.99
0.02,0.02,51.17,0,0,0,100,0,4056.76
0.03,0.03,48.83,48.83,100,100,100,65.57,4091.48
0.04,0.04,48.83,48.83,100,100,100,65.57,3971.07
0.05,0.05,48.83,48.83,100,100,100,65.57,4008.63
0.06,0.06,48.83,48.83,100,100,100,65.57,4131.58
0.07,0.06,51.17,0,0,0,100,0,3967.46
0.08,0.07,48.83,48.83,100,100,100,65.57,3946.89
0.09,0.08,48.83,48.83,100,100,100,65.57,3996.39
0.1,0.08,48.83,48.83,100,100,100,65.57,3945.55
0.2,0.19,48.79,48.81,99.81,99.89,99.89,65.51,4464.16
0.3,0.3,49,48.44,69.26,70.32,76.75,56.96,4641.04
0.4,0.42,49.33,48.53,62.14,62.89,73.41,54.44,5172.66
0.5,0.52,49.48,48.18,45.9,47.1,71.73,46.96,5766.74
0.6,0.71,49.54,48.35,49.05,49.99,71.38,48.65,6234.45
0.7,0.89,49.3,48.42,58.91,59.88,72.62,53.1,6844.23
0.8,1.03,49.65,48.5,50.49,51.16,71.19,49.43,7456.86
0.9,1.23,49.38,48.31,52.68,53.78,71.63,50.35,8163
1,1.38,49.1,47.93,49.39,51.18,71.98,48.6,8653.07
5,4.89,49.77,49.05,74.28,73.63,77.99,59.04,31130.26
10,10.14,50.15,48.2,27.95,28.67,77.54,35.34,57341.04
15,14.84,49.25,47.62,39.5,41.45,73.34,43.13,78369.83
20,20,49.93,47.46,23.84,25.18,80.21,31.69,100523.56
25,24.7,49.92,47.32,22.71,24.12,80.97,30.65,122399.15
30,29.81,50.13,47.27,18.55,19.74,83.81,26.6,140983.42
35,34.54,50.59,48.68,22.18,22.31,80.96,30.43,159936.11
40,39.65,50.42,48.4,23.26,23.66,80.3,31.38,181190.23
45,44.31,50.19,48.29,28.48,29.1,77.21,35.78,203707.02
50,49.55,50,47.48,22.64,23.89,80.97,30.61,222139.1
55,54.41,50.18,48.05,25.23,26.03,79.17,33.05,247760.93
60,59.57,50.39,48.28,22.64,23.14,80.75,30.78,261223.16
65,64.18,50.11,47.68,22.52,23.57,80.99,30.54,277321.63
70,69.54,49.96,47.28,21.53,22.91,81.74,29.54,294938.54
75,74.33,49.35,45.49,18.79,21.48,84.01,26.55,313183.41
80,79.78,50.11,47.65,22.18,23.25,81.22,30.23,332221.13
85,84.46,50,46.9,18.21,19.67,84.12,26.19,358730.54
90,89.75,50.19,47.23,17.2,18.34,84.81,25.18,378744
95,94.55,50.28,47.34,16.24,17.24,85.52,24.14,394753.93
100,100,49.93,47.09,20.64,22.13,82.39,28.66,413804.03
