data-size, loc, accuracy, precision, recall, false-alarm, d2h, f1-score, training-time
0.01,0.02,50.41,50.22,51.46,51.24,70.58,50.78,1.45
0.02,0.03,50.41,50.41,100,100,100,66.98,0.41
0.03,0.07,50.41,50.41,100,100,100,66.98,0.36
0.04,0.08,50.41,50.41,100,100,100,66.98,0.33
0.05,0.09,50.41,50.41,100,100,100,66.98,0.33
0.06,0.09,50.41,50.41,100,100,100,66.98,0.29
0.07,0.1,50.41,50.41,100,100,100,66.98,0.3
0.08,0.11,50.41,50.41,100,100,100,66.98,0.29
0.09,0.12,50.41,50.41,100,100,100,66.98,0.28
0.1,0.13,50.41,50.41,100,100,100,66.98,0.27
0.2,0.22,50.41,50.41,100,100,100,66.98,0.27
0.3,0.29,50.41,50.56,95.51,95.41,95.52,66.07,0.26
0.4,0.4,50.41,50.23,55.55,55.32,70.97,52.71,0.26
0.5,0.48,50.41,49.2,41.88,42.66,72.1,45.19,0.28
0.6,0.57,50.41,50.41,100,100,100,66.98,0.27
0.7,0.62,50.41,50.23,55.55,55.32,70.97,52.71,0.27
0.8,0.69,50.41,50.54,54.29,53.75,70.56,52.3,0.27
0.9,0.8,50.41,0,0,0,100,0,0.28
1,0.94,50.41,0,0,0,100,0,0.29
5,5.06,50.39,52.02,23.41,21.99,79.69,32.24,0.3
10,9.94,50.41,50.61,52.07,51.46,70.32,51.28,0.37
15,15,50.41,50.03,39.46,39.42,72.25,44.07,0.42
20,19.75,50.41,50.61,52.07,51.46,70.32,51.28,0.48
25,24.78,50.41,50.66,46.62,45.97,70.44,48.51,0.49
30,29.57,50.41,50.74,46.82,46.09,70.37,48.65,0.5
35,34.76,50.41,50.87,39.86,39.03,71.69,44.65,0.49
40,39.69,50.41,50.99,41.37,40.41,71.21,45.63,0.5
45,44.8,50.41,50.99,41.37,40.41,71.21,45.63,0.49
50,50.07,50.41,50.53,50.45,49.92,70.34,50.44,0.5
55,54.95,50.41,50.99,41.37,40.41,71.21,45.63,0.51
60,59.67,50.41,51.15,41.57,40.46,71.07,45.82,0.52
65,64.89,50.41,51.67,35.87,34.35,72.75,42.3,0.52
70,70.08,50.41,51.57,38.14,36.67,71.91,43.8,0.52
75,75.3,50.41,51.56,37.49,36.04,72.16,43.36,0.52
80,80.01,50.41,52.84,19.22,17.52,82.65,28.15,0.52
85,85.28,50.41,52.88,19.42,17.68,82.49,28.37,0.53
90,90.02,50.41,52.88,19.42,17.68,82.49,28.37,0.52
95,95.14,50.41,52.83,20.28,18.51,81.84,29.27,0.55
100,100,50.41,52.83,20.28,18.51,81.84,29.27,0.51
