data-size, loc, accuracy, precision, recall, false-alarm, d2h, f1-score, training-time
0.01,0.02,50.41,50.41,100,100,100,66.98,3.19
0.02,0.03,50.41,50.41,100,100,100,66.98,3.61
0.03,0.07,50.41,50.41,100,100,100,66.98,5.29
0.04,0.08,50.41,50.41,100,100,100,66.98,6.37
0.05,0.09,50.41,50.41,100,100,100,66.98,8.25
0.06,0.09,50.41,50.41,100,100,100,66.98,10.17
0.07,0.1,50.41,50.41,100,100,100,66.98,12.27
0.08,0.11,50.41,50.41,100,100,100,66.98,13.77
0.09,0.12,50.41,50.41,100,100,100,66.98,15.45
0.1,0.13,50.41,50.41,100,100,100,66.98,17.6
0.2,0.22,50.41,50.41,100,100,100,66.98,38.47
0.3,0.29,50.41,50.41,100,100,100,66.98,61.65
0.4,0.4,50.41,50.41,100,100,100,66.98,84.59
0.5,0.48,50.41,0,0,0,100,0,111.08
0.6,0.57,50.41,50.41,100,100,100,66.98,137.58
0.7,0.62,50.41,50.41,100,100,100,66.98,163.53
0.8,0.69,50.41,49.62,39.71,40.07,72.39,44.06,177.42
0.9,0.8,50.41,52.21,22.65,21.14,80.18,31.56,159.64
1,0.94,50.41,51.68,24.02,22.81,79.33,32.75,145.82
5,5.06,50.41,50,36.68,36.68,73.18,42.27,61.67
10,9.94,50.41,52.6,36.68,34.29,72.01,43.17,60.6
15,15,50.41,52.18,39.3,37.25,71.21,44.79,50.7
20,19.75,50.41,52.11,41.73,39.69,70.5,46.29,45.06
25,24.78,50.41,51.28,43.49,42.24,70.55,47.02,41.87
30,29.57,50.41,51.44,45.91,44.48,70.03,48.47,40.75
35,34.76,50.41,51.09,43.69,42.62,70.62,47.05,40.4
40,39.69,50.41,51.05,43.04,42.01,70.78,46.65,39.6
45,44.8,50.41,50.91,42.38,41.5,71.01,46.21,37.86
50,50.07,50.41,50.86,43.29,42.45,70.84,46.72,36.42
55,54.95,50.41,50.86,44.85,44.01,70.55,47.62,35.26
60,59.67,50.41,51.1,44.5,43.42,70.46,47.52,34.2
65,64.89,50.41,50.77,42.99,42.23,70.95,46.51,33.27
70,70.08,50.41,50.83,44.75,43.93,70.59,47.55,32.75
75,75.3,50.41,50.94,45.11,44.18,70.46,47.8,31.94
80,80.01,50.41,50.97,45.26,44.3,70.42,47.89,30.86
85,85.28,50.41,51.05,44.25,43.22,70.54,47.36,30.32
90,90.02,50.41,51.03,46.32,45.3,70.24,48.51,29.59
95,95.14,50.41,50.91,44.95,44.05,70.5,47.7,29.04
100,100,50.41,50.95,44.75,43.82,70.51,47.6,28.19
