data-size, loc, accuracy, precision, recall, false-alarm, d2h, f1-score, training-time
0.01,0,51.72,51.72,100,100,100,68.14,4163.46
0.02,0,51.72,51.72,100,100,100,68.14,3972.95
0.03,0.01,51.72,51.72,100,100,100,68.14,3910.57
0.04,0.02,51.72,51.72,100,100,100,68.14,3902.88
0.05,0.04,51.72,51.72,100,100,100,68.14,3828.57
0.06,0.04,51.72,51.72,100,100,100,68.14,3913.52
0.07,0.05,48.28,0,0,0,100,0,3878.33
0.08,0.07,51.72,51.72,100,100,100,68.14,3889.18
0.09,0.08,51.72,51.72,100,100,100,68.14,3875.15
0.1,0.21,51.72,51.72,100,100,100,68.14,3898.2
0.2,0.27,51.72,51.72,100,100,100,68.14,3854.18
0.3,0.34,51.72,51.72,100,100,100,68.14,3895.05
0.4,0.41,51.72,51.72,100,100,100,68.14,3862.16
0.5,0.47,51.72,51.72,100,100,100,68.14,3896.14
0.6,0.55,51.72,51.72,100,100,100,68.14,3960.08
0.7,0.6,51.72,51.72,100,100,100,68.14,4180.49
0.8,0.79,51.72,51.72,100,100,100,68.14,4426.12
0.9,0.86,51.72,51.72,100,100,100,68.14,4403.32
1,0.96,51.72,51.72,100,100,100,68.14,4505.51
5,4.58,51.72,51.72,100,100,100,68.14,10442.07
10,9.54,51.08,52.5,56.91,55.15,69.99,54.57,19941.76
15,14.09,51.72,51.78,96.79,96.56,96.62,67.42,25506.34
20,19.41,49.64,51.41,47.94,48.55,71.18,49.57,34404.9
25,23.91,51.72,51.79,96.13,95.86,95.94,67.27,39811.91
30,29.44,49.72,51.48,48.52,48.99,71.06,49.91,47168.4
35,34.08,51.25,51.64,90.79,91.1,91.57,65.79,52117.79
40,39.2,48.32,50.04,47.94,51.28,73.07,48.92,59767.22
45,42.82,50.28,51.07,92.11,94.54,94.87,65.66,64395.94
50,48.6,48.06,49.77,44.24,47.84,73.47,46.79,70951.46
55,53.02,49.55,50.73,85.2,88.63,89.86,63.55,76374.59
60,58.32,48.83,50.68,39.64,41.32,73.15,44.44,82152.84
65,62.81,49.3,50.59,84.46,88.37,89.73,63.23,87250.94
70,69.22,47.55,49.11,38.49,42.73,74.9,43.1,93342.98
75,74.28,48.36,50.06,74.42,79.56,83.57,59.81,99194.79
80,79.16,46.92,48.25,36.27,41.67,76.15,41.36,106708.53
85,83.64,48.36,50.05,79.03,84.49,87.06,61.24,112294.7
90,89.17,46.75,47.83,32.65,38.15,77.41,38.76,116835.94
95,94.31,46.49,48.89,75.82,84.93,88.31,59.4,123055.23
100,100,46.07,46.65,29.77,36.48,79.14,36.3,129651.43
