data-size, loc, accuracy, precision, recall, false-alarm, d2h, f1-score, training-time
0.01,0,51.72,51.72,100,100,100,68.14,2.68
0.02,0,51.72,51.72,100,100,100,68.14,2.33
0.03,0.01,51.72,51.72,100,100,100,68.14,2.85
0.04,0.02,51.72,51.72,100,100,100,68.14,3.62
0.05,0.04,51.72,51.72,100,100,100,68.14,5.45
0.06,0.04,51.72,51.35,67.43,66.24,73.81,58.25,5.39
0.07,0.05,51.72,51.35,67.43,66.24,73.81,58.25,4.93
0.08,0.07,51.72,51.21,76.32,75.43,79.06,61.25,4.82
0.09,0.08,51.72,51.21,76.32,75.43,79.06,61.25,4.7
0.1,0.21,51.72,51.84,85.77,84.85,86.04,64.58,5.25
0.2,0.27,51.72,51.21,76.32,75.43,79.06,61.25,5.34
0.3,0.34,51.72,51.84,85.77,84.85,86.04,64.58,9.11
0.4,0.41,51.72,51.3,94.08,93.78,93.97,66.35,13.93
0.5,0.47,51.72,51.72,100,100,100,68.14,21.28
0.6,0.55,51.72,51.72,100,100,100,68.14,27.79
0.7,0.6,51.72,51.72,100,100,100,68.14,37.02
0.8,0.79,51.72,51.72,100,100,100,68.14,44.45
0.9,0.86,51.72,51.35,98.19,98.09,98.11,67.39,52.61
1,0.96,51.72,51.35,98.19,98.09,98.11,67.39,59.53
5,4.58,51.72,51.35,98.19,98.09,98.11,67.39,72.91
10,9.54,51.72,51.84,91.45,90.85,91.25,66.12,52.59
15,14.09,51.72,51.92,92.27,91.7,92.03,66.4,39.97
20,19.41,51.72,52.33,84.05,82.76,84.28,64.45,35.12
25,23.91,51.72,52.39,86.43,85.27,86.34,65.19,29.99
30,29.44,51.72,52.31,82.98,81.63,83.39,64.12,27.84
35,34.08,51.72,52.39,86.43,85.27,86.34,65.19,25.52
40,39.2,51.72,52.54,82.65,81.14,82.98,64.19,23.13
45,42.82,51.72,52.39,86.43,85.27,86.34,65.19,21.63
50,48.6,51.72,52.39,86.43,85.27,86.34,65.19,19.96
55,53.02,51.72,52.31,86.68,85.57,86.61,65.2,18.56
60,58.32,51.72,52.23,85.69,84.56,85.76,64.85,17.59
65,62.81,51.72,52.31,86.68,85.57,86.61,65.2,16.8
70,69.22,51.72,52.41,85.03,83.76,85.09,64.8,16.1
75,74.28,51.72,52.31,86.68,85.57,86.61,65.2,15.53
80,79.16,51.72,52.32,85.28,84.07,85.35,64.81,15.08
85,83.64,51.72,52.23,85.69,84.56,85.76,64.85,14.78
90,89.17,51.72,52.19,83.39,82.14,83.8,64.15,14.4
95,94.31,51.72,52.3,86.84,85.75,86.76,65.24,14
100,100,51.72,52.17,84.95,83.81,85.15,64.6,13.68
