data-size, loc, accuracy, precision, recall, false-alarm, d2h, f1-score, training-time
0.01,0.02,47.79,47.79,100,100,100,64.63,1.64
0.02,0.02,48.88,47.79,71.25,73.02,78.48,57.16,0.59
0.03,0.02,48.88,48.39,88.1,88.75,89.55,62.42,0.54
0.04,0.02,48.88,49.6,56.23,56.62,71.57,52.65,0.44
0.05,0.03,48.88,48.13,75.27,76.64,80.53,58.67,0.5
0.06,0.04,48.88,48.88,100,100,100,65.62,0.38
0.07,0.04,48.88,48.88,100,100,100,65.62,0.31
0.08,0.05,48.88,48.88,100,100,100,65.62,0.33
0.09,0.05,48.88,48.88,100,100,100,65.62,0.3
0.1,0.05,48.88,48.88,100,100,100,65.62,0.28
0.2,0.18,48.88,48.88,100,100,100,65.62,0.26
0.3,0.29,48.88,48.82,98.53,98.6,98.61,65.25,0.24
0.4,0.35,48.88,48.88,100,100,100,65.62,0.25
0.5,0.46,48.88,48.88,100,100,100,65.62,0.23
0.6,0.58,48.88,48.78,87.55,88.07,88.95,62.6,0.24
0.7,0.71,48.88,48.54,84.98,85.71,87.02,61.74,0.22
0.8,0.77,48.88,48.88,100,100,100,65.62,0.24
0.9,0.89,48.88,48.89,68.31,69.27,76.17,56.94,0.24
1,0.98,48.88,48.89,88.83,89.26,89.96,63.02,0.23
5,5.55,48.88,48.48,90.66,91.16,91.64,63.13,0.24
10,10.55,48.88,49.23,35.35,36.05,74.02,41.1,0.24
15,15.75,48.88,48.39,66.12,67.54,75.57,55.83,0.25
20,21.24,48.88,48.6,41.39,42.75,72.55,44.66,0.26
25,26.32,48.88,47.62,21.98,23.66,81.53,30.03,0.23
30,30.86,48.88,45.9,5.13,5.99,95.06,9.21,0.25
35,36.02,48.88,46.95,18.31,20.21,84.15,26.31,0.26
40,40.2,48.88,48.52,36.08,37.46,74.08,41.34,0.27
45,45.22,48.88,48.52,36.08,37.46,74.08,41.34,0.26
50,50.16,48.88,42.34,8.61,11.37,92.1,14.28,0.34
55,54.9,48.88,48.23,34.98,36.61,74.62,40.5,0.34
60,60,48.88,50.12,37.18,37.06,72.94,42.64,0.39
65,64.51,48.88,50.12,37.18,37.06,72.94,42.64,0.38
70,69.59,48.88,50.12,37.18,37.06,72.94,42.64,0.4
75,74.6,48.88,50.12,37.18,37.06,72.94,42.64,0.44
80,79.87,48.88,50.39,35.53,35.17,73.44,41.63,0.43
85,84.95,48.88,50.39,35.53,35.17,73.44,41.63,0.44
90,89.76,48.88,51.69,11.17,10.52,89.45,18.34,0.47
95,94.79,48.88,51.69,11.17,10.52,89.45,18.34,0.49
100,100,48.88,50.39,35.53,35.17,73.44,41.63,0.47
