data-size, loc, accuracy, precision, recall, false-alarm, d2h, f1-score, training-time
0.01,0.02,48.88,48.88,100,100,100,65.62,2.46
0.02,0.02,48.88,48.88,100,100,100,65.62,1.93
0.03,0.02,48.88,48.88,100,100,100,65.62,2.47
0.04,0.02,48.88,48.88,100,100,100,65.62,2.33
0.05,0.03,48.88,48.88,100,100,100,65.62,2.62
0.06,0.04,48.88,48.88,100,100,100,65.62,2.96
0.07,0.04,48.88,48.88,100,100,100,65.62,3.29
0.08,0.05,48.88,48.88,100,100,100,65.62,3.72
0.09,0.05,48.88,48.88,100,100,100,65.62,3.97
0.1,0.05,48.88,48.88,100,100,100,65.62,4.29
0.2,0.18,48.88,48.88,100,100,100,65.62,9.13
0.3,0.29,48.88,48.88,100,100,100,65.62,13.71
0.4,0.35,48.88,48.88,100,100,100,65.62,18.94
0.5,0.46,48.88,48.88,100,100,100,65.62,23.93
0.6,0.58,48.88,48.88,100,100,100,65.62,30.01
0.7,0.71,48.88,48.88,100,100,100,65.62,35.64
0.8,0.77,48.88,48.88,100,100,100,65.62,40.21
0.9,0.89,48.88,48.88,100,100,100,65.62,46.62
1,0.98,48.88,48.88,100,100,100,65.62,51.6
5,5.55,48.88,47.75,54.4,56.62,72.7,50.81,36.33
10,10.55,48.88,46.3,39.01,42.59,74.39,42.3,34.28
15,15.75,48.88,46.93,51.83,54.89,73.03,49.21,33.55
20,21.24,48.88,47.25,45.6,48.35,72.78,46.36,33.22
25,26.32,48.88,45.79,45.79,50,73.75,45.74,29.69
30,30.86,48.88,45.4,41.58,46.11,74.43,43.35,27.16
35,36.02,48.88,46.55,43.22,46.64,73.48,44.77,25
40,40.2,48.88,45.8,39.93,44.03,74.48,42.61,23.36
45,45.22,48.88,46,39.01,42.88,74.56,42.17,22.02
50,50.16,48.88,46.14,37.18,40.86,74.94,41.13,21.01
55,54.9,48.88,45.04,41.58,46.48,74.66,43.19,20.13
60,60,48.88,46.09,41.03,44.86,74.1,43.36,19.54
65,64.51,48.88,45.72,40.11,44.29,74.49,42.68,19.09
70,69.59,48.88,45.94,39.38,43.32,74.51,42.36,18.82
75,74.6,48.88,46.35,40.66,44.23,74.01,43.27,18.76
80,79.87,48.88,46.53,40.48,43.87,73.94,43.24,18.73
85,84.95,48.88,46.33,41.58,45.19,73.86,43.77,18.54
90,89.76,48.88,46.79,40.11,43.23,73.86,43.15,18.45
95,94.79,48.88,46.49,38.83,42.21,74.32,42.27,18.24
100,100,48.88,46.17,38.64,42.34,74.55,42.02,17.99
