size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,50,24.62,50,50,100,32.97,0.33
0.02,0.02,50.76,0,0,0,100,0,0.3
0.03,0.03,49.72,29.48,60,60,100,39.51,0.31
0.04,0.04,49.24,49.24,100,100,100,65.94,0.31
0.05,0.05,49.24,49.24,100,100,100,65.94,0.3
0.06,0.06,50.28,19.76,40,40,100,26.44,0.3
0.07,0.06,50,19.62,40,40,100,26.31,0.3
0.08,0.07,49.24,49.24,100,100,100,65.94,0.3
0.09,0.08,49.24,49.24,100,100,100,65.94,0.3
0.1,0.08,49.24,49.24,100,100,100,65.94,0.32
0.2,0.19,49.65,39.45,80,80,100,52.8,0.31
0.3,0.3,50.27,19.75,40,40,100,26.43,0.32
0.4,0.42,49.84,34.54,70,70,100,46.22,0.32
0.5,0.52,49.7,49.04,57.22,57.7,75.38,51.46,0.93
0.6,0.71,49.77,49.14,58.06,58.35,74.12,52.38,1.32
0.7,0.89,49.84,48.95,43.33,43.84,73.26,45.13,1.62
0.8,1.03,49.67,48.73,44.13,45.03,73.53,45.5,2.04
0.9,1.23,49.79,48.95,47.48,47.98,74.17,47.08,2.45
1,1.38,49.9,49.06,43.91,44.33,73.21,45.51,3.16
5,4.89,49.42,48.99,66.63,67.27,76.7,55.95,18.43
10,10.14,50.53,49.62,17.74,17.63,85.87,24.08,37.74
15,14.84,49.92,49.22,42.26,42.53,81.09,39.85,51.9
20,20,50.32,48.65,18.32,18.65,85.81,24.15,65.64
25,24.7,49.83,48.36,27.48,28.35,82.89,30.82,79.31
30,29.81,50.36,48.23,13.06,13.52,88.75,19.19,92.77
35,34.54,49.97,48.38,31.84,32.52,81.16,33.88,102.45
40,39.65,50.55,49.47,19.08,18.94,84.05,25.87,115.07
45,44.31,50.02,48.71,35.22,35.49,77.88,37.76,126.26
50,49.55,50.27,48.92,26.49,26.68,79.43,32.9,138.09
55,54.41,50.42,49.44,29.55,29.37,76.93,36.44,147.18
60,59.57,50.33,49.18,27.07,27.12,78.33,34.4,160.63
65,64.18,50.39,49.16,26.18,26.17,78.75,33.55,171.31
70,69.54,50.29,48.36,21.13,21.42,82.72,27.91,183.35
75,74.33,50.34,48.16,15.87,16.16,86.75,21.62,197.07
80,79.78,50.55,49.46,23.22,22.86,81.13,29.83,209.63
85,84.46,50.59,49.17,23.16,22.73,81.52,29,217.56
90,89.75,50.62,49.43,21.78,21.37,81.55,29.34,233.71
95,94.55,50.6,49.33,23.17,22.75,80.85,30.33,236.3
100,100,50.53,49.44,22.88,22.61,81.1,30.22,249.05
