size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.24,49.02,75.07,75.79,80.14,59.17,0
0.02,0.02,49.24,48.68,64.17,65.33,75.91,54.93,0
0.03,0.03,49.23,48.92,63.32,64.24,76.11,54.55,0
0.04,0.04,49.24,48.93,75.61,76.35,81.04,59.14,0
0.05,0.05,49.24,48.77,63.98,65.07,75.26,55.05,0
0.06,0.06,49.25,49.17,41.22,41.9,77.43,42.08,0
0.07,0.06,49.23,48.87,36.99,37.77,80.4,38.49,0
0.08,0.07,49.25,49.23,68.14,68.72,77.45,56.6,0.01
0.09,0.08,49.24,48.84,73.56,74.47,79.39,58.58,0.01
0.1,0.08,49.24,48.7,68.21,69.33,76.36,56.76,0.01
0.2,0.19,49.23,48.97,62.58,63.46,76.49,54.06,0.01
0.3,0.3,49.23,49.12,45.61,46.32,76.86,44.8,0.02
0.4,0.42,49.24,49.25,51.2,51.85,74.32,49.11,0.03
0.5,0.52,49.24,48.85,36.69,37.6,76.32,40.31,0.03
0.6,0.71,49.24,49.25,42.86,43.57,73.69,44.94,0.04
0.7,0.89,49.24,49.11,50.83,51.67,72.51,49.52,0.04
0.8,1.03,49.23,49,50.81,51.74,73.35,49.19,0.05
0.9,1.23,49.24,49.06,55.12,55.93,75.19,50.63,0.06
1,1.38,49.24,49.15,53.73,54.49,74.21,50.45,0.06
5,4.89,49.24,48.64,58.33,59.65,72.87,52.96,0.34
10,10.14,49.24,48.68,33.92,35.21,76.21,38.6,0.85
15,14.84,49.24,48.47,32.87,34.23,76.33,38.38,1.48
20,20,49.24,49,18.5,19.27,85.21,24.11,2.21
25,24.7,49.24,49.17,32.37,33.44,78.6,35.72,2.97
30,29.81,49.24,42.53,18.95,19.56,85.79,23.21,3.59
35,34.54,49.24,49.1,24.67,25.32,82.47,29.37,4.19
40,39.65,49.24,49.89,18.17,18.34,84.32,25.61,4.92
45,44.31,49.24,49.05,23.46,23.99,82.66,28.73,5.53
50,49.55,49.24,49.57,19.51,19.71,83.28,27.19,6.22
55,54.41,49.24,49.96,29.85,29.93,76.57,37.08,6.83
60,59.57,49.24,50.11,24.14,24.06,79.73,32.35,7.52
65,64.18,49.24,50.23,22.59,22.44,80.7,30.98,8.4
70,69.54,49.24,50.3,22.92,22.88,81.83,29,9.1
75,74.33,49.24,35.17,18.22,18.09,84.92,23.9,9.74
80,79.78,49.24,50.02,23.43,23.31,80.5,30.99,10.39
85,84.46,49.24,50.32,25.25,25.01,78.87,33.52,11.07
90,89.75,49.24,50.31,24.71,24.47,79.23,33.03,11.64
95,94.55,49.24,50.63,20.99,20.79,82.06,28.73,12.47
100,100,49.24,35.12,15.48,15.52,88.03,19.23,13.08
