size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,49.24,29.57,56.79,56.83,97.55,38.69,0.01
0.02,0.02,49.24,14.69,15.25,15.55,92.05,14.75,0.03
0.03,0.03,49.24,34.27,52.65,53.05,89.99,40.35,0.06
0.04,0.04,49.24,49.16,85.94,86.33,89.78,61.91,0.11
0.05,0.05,49.24,49.1,72.68,73.25,85.1,56.47,0.14
0.06,0.06,49.24,34.28,40,40.62,83.77,35.71,0.18
0.07,0.06,49.24,39.18,48.35,48.97,84.09,41.38,0.24
0.08,0.07,49.24,48.99,75.5,76.13,85.69,57.83,0.3
0.09,0.08,49.24,49.02,78.14,78.8,84.59,59.49,0.36
0.1,0.08,49.24,49.04,77.03,77.69,83.89,59.16,0.43
0.2,0.19,49.24,49.13,75.35,75.96,82.89,58.66,1.59
0.3,0.3,49.24,39.18,47.5,48.21,81.29,41.99,3.66
0.4,0.42,49.24,48.99,54.39,55.31,73.93,50.72,6.38
0.5,0.52,49.24,49.05,46.62,47.5,73.66,46.87,7.1
0.6,0.71,49.24,49.12,50.2,51.04,73.35,48.9,7.93
0.7,0.89,49.24,49.1,59.67,60.47,75.2,53.06,8.73
0.8,1.03,49.24,49.04,55.04,55.9,74.44,50.9,9.78
0.9,1.23,49.24,49.03,54.55,55.48,73.14,51.13,10.77
1,1.38,49.24,49,53.52,54.44,74.67,50.08,12.14
5,4.89,49.24,49.06,63.1,63.9,75.24,54.74,65.52
10,10.14,49.24,48.75,37.67,38.77,74.13,41.96,101.68
15,14.84,49.24,48.64,42.57,43.83,73.39,44.77,132.01
20,20,49.24,48.56,36.15,37.46,74.77,40.89,156.92
25,24.7,49.24,48.61,41.51,42.79,73.87,44.1,184.08
30,29.81,49.24,48.61,38.06,39.29,75.06,41.8,208.94
35,34.54,49.24,48.59,41.45,42.75,73.77,44.15,236.73
40,39.65,49.24,48.44,31.48,32.78,76.67,37.64,259.52
45,44.31,49.24,48.59,39.45,40.73,74.6,42.73,284.18
50,49.55,49.24,48.45,30.46,31.75,76.74,37.12,303.15
55,54.41,49.24,48.48,33.89,35.21,75.49,39.46,318.61
60,59.57,49.24,48.43,30.66,31.97,76.66,37.26,337.13
65,64.18,49.24,48.4,31.35,32.7,76.42,37.72,347.17
70,69.54,49.24,48.41,29.92,31.23,76.98,36.73,352.04
75,74.33,49.24,48.4,30.76,32.08,76.84,37.2,360.67
80,79.78,49.24,48.43,31.26,32.57,76.57,37.6,368.28
85,84.46,49.24,48.39,31.17,32.51,76.63,37.52,375.57
90,89.75,49.24,48.39,31.06,32.4,76.69,37.43,379.14
95,94.55,49.24,48.42,30.97,32.28,76.7,37.38,383.27
100,100,49.24,48.38,30.67,32,76.87,37.14,383.19
