size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,51.9,51.9,100,100,100,68.29,0
0.02,0.02,51.26,51.26,100,100,100,67.73,0
0.03,0.03,51.26,51.36,90.47,90.17,94,64.57,0
0.04,0.04,50.71,50.43,56.8,56.08,79.59,49.88,0
0.05,0.05,50.59,50.44,49.55,49.12,74.88,48.46,0
0.06,0.06,50.57,49.92,53.67,53.42,82.94,46.51,0
0.07,0.06,50.57,50.54,41.57,41.07,76.59,43.3,0
0.08,0.07,50.57,50.96,45.06,44.34,77.72,44.91,0
0.09,0.08,50.57,50.47,64.97,64.75,85.15,53,0
0.1,0.08,50.57,50.25,43.51,43.27,72.66,45.8,0
0.2,0.19,50.57,49.99,83.81,83.91,86.28,62.38,0.01
0.3,0.3,50.57,50.57,100,100,100,67.13,0.01
0.4,0.42,50.57,50.38,97.22,97.18,97.33,66.29,0.01
0.5,0.52,50.57,50.49,98.16,98.12,98.21,66.62,0.01
0.6,0.71,50.57,50.57,99.72,99.71,99.71,67.06,0.01
0.7,0.89,50.57,50.56,99.49,99.47,99.47,67,0.02
0.8,1.03,50.57,50.58,99.94,99.94,99.94,67.12,0.02
0.9,1.23,50.57,50.57,100,100,100,67.13,0.02
1,1.38,50.57,50.57,100,100,100,67.13,0.02
5,4.89,50.57,50.51,99.23,99.21,99.23,66.9,0.12
10,10.14,50.57,50.89,56.31,55.47,71.48,53.16,0.26
15,14.84,50.57,50.56,99.45,99.44,99.44,66.99,0.42
20,20,50.57,50.71,58.14,57.45,71.47,54.02,0.55
25,24.7,50.57,50.56,98.26,98.2,98.25,66.71,0.73
30,29.81,50.57,51.16,57.64,56.5,72.16,53.7,0.93
35,34.54,50.57,50.58,99.91,99.91,99.91,67.11,1.17
40,39.65,50.57,50.95,55.79,54.87,71.24,52.98,1.44
45,44.31,50.57,50.45,94.76,94.73,95.56,65.63,1.66
50,49.55,50.57,51.61,51.46,49.86,69.6,51.48,1.94
55,54.41,50.57,50.57,97.77,97.72,97.81,66.6,2.18
60,59.57,50.57,51.83,52.14,50.31,69.45,51.93,2.47
65,64.18,50.57,50.55,95.13,95,95.36,65.91,2.71
70,69.54,50.57,51.98,53,51.02,69.4,52.42,3
75,74.33,50.57,50.49,89.6,89.45,91.62,64.13,3.3
80,79.78,50.57,51.68,51.81,50.13,69.56,51.69,3.51
85,84.46,50.57,50.52,87.25,87.03,89.67,63.49,3.74
90,89.75,50.57,51.87,52.93,51.07,69.59,52.3,4
95,94.55,50.57,50.71,90.44,90.08,92.01,64.52,4.27
100,100,50.57,51.71,52,50.3,69.53,51.8,4.5
