size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,50.57,50.57,100,100,100,67.13,42.18
0.02,0.02,50.57,50.57,100,100,100,67.13,41.05
0.03,0.03,50.57,50.57,100,100,100,67.13,39.01
0.04,0.04,50.57,50.57,100,100,100,67.13,39.2
0.05,0.05,50.57,50.57,100,100,100,67.13,38.88
0.06,0.06,50.31,45.44,90,90,100,60.35,39.2
0.07,0.06,50.24,30.41,60,60,100,40.33,39.08
0.08,0.07,50.35,45.46,90,90,100,60.37,39.77
0.09,0.08,50.57,50.57,100,100,100,67.13,40.31
0.1,0.08,50.57,50.57,100,100,100,67.13,41.12
0.2,0.19,50.57,50.57,100,100,100,67.13,41.08
0.3,0.3,50.57,50.57,100,100,100,67.13,41.66
0.4,0.42,50.57,50.57,100,100,100,67.13,40.99
0.5,0.52,50.57,50.57,100,100,100,67.13,40.79
0.6,0.71,50.57,50.57,100,100,100,67.13,40.99
0.7,0.89,50.57,50.57,100,100,100,67.13,44.62
0.8,1.03,50.57,50.57,100,100,100,67.13,41.02
0.9,1.23,50.57,50.57,100,100,100,67.13,42.45
1,1.38,50.57,50.57,100,100,100,67.13,41.38
5,4.89,50.57,50.57,100,100,100,67.13,81.91
10,10.14,50.19,50.69,56.47,56.21,71.58,53.22,160.75
15,14.84,50.53,50.56,97.93,97.97,98,66.64,217.76
20,20,49.56,50.1,49.11,49.94,71.61,49.43,299.68
25,24.7,50.31,50.46,95.73,96.17,96.29,66.03,350.7
30,29.81,49.46,50.02,49.35,50.4,72.06,49.41,431.55
35,34.54,49.54,50.06,90.38,92.25,92.8,64.37,467.45
40,39.65,49.21,49.76,48.92,50.48,72.1,49.18,536.52
45,44.31,49.35,49.96,90.04,92.27,92.84,64.21,596.89
50,49.55,49.45,50.01,45.53,46.51,71.85,47.51,659.29
55,54.41,49,49.75,82.16,84.88,86.94,61.86,701.84
60,59.57,49.71,50.31,42.61,43.01,71.84,46.03,781.78
65,64.18,48.94,49.71,84.23,87.13,88.74,62.42,811.8
70,69.54,48.82,49.32,43.96,46.18,72.76,46.37,880.44
75,74.33,48.46,49.4,79.52,83.27,86.05,60.81,928.79
80,79.78,48.57,49.03,42.53,45.21,73.41,45.35,976.52
85,84.46,48.22,49.29,81.92,86.21,88.29,61.44,1043.24
90,89.75,48.32,48.76,42.52,45.71,73.71,45.25,1088.44
95,94.55,47.7,48.95,79.64,84.96,87.5,60.55,1136.94
100,100,47.6,47.89,39.9,44.45,75.07,43.32,1211.4
