size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,50.39,45.61,90,90,100,60.48,0
0.02,0.02,49.66,39.32,80,80,100,52.69,0
0.03,0.03,49.29,49.49,80.03,80.2,88.88,58.92,0
0.04,0.04,49.19,49.3,92.25,92.34,93.04,64.1,0
0.05,0.05,49.05,49.37,81.64,81.68,87.6,60.34,0
0.06,0.06,48.96,49.11,93.08,93.19,93.75,64.15,0
0.07,0.06,48.9,48.9,100,100,100,65.64,0
0.08,0.07,48.9,48.9,100,100,100,65.64,0
0.09,0.08,48.9,48.9,100,100,100,65.64,0
0.1,0.08,48.9,48.9,100,100,100,65.64,0
0.2,0.19,48.92,49.15,93.76,93.83,94.28,64.35,0
0.3,0.3,48.92,49.23,82.68,83.09,86.13,61.36,0
0.4,0.42,48.92,49.12,93.89,93.97,94.51,64.33,0
0.5,0.52,48.92,48.94,68.68,69.5,77.87,56.66,0.01
0.6,0.71,48.92,48.67,60.19,61.35,75.82,53.01,0.01
0.7,0.89,48.92,48.49,80.19,81.11,85.8,59.81,0.01
0.8,1.03,48.92,48.82,90.14,90.63,91.86,63.13,0.01
0.9,1.23,48.92,49.18,70.55,71.24,78.31,57.61,0.01
1,1.38,48.92,49.2,75.32,75.87,81.98,58.92,0.01
5,4.89,48.92,49.26,77.97,78.35,83.07,59.86,0.05
10,10.14,48.92,48.56,37.8,39.06,74.64,41.79,0.1
15,14.84,48.92,49.47,57.56,58.07,72.82,52.89,0.16
20,20,48.92,48.09,43.98,45.84,73.29,45.57,0.22
25,24.7,48.92,48.62,30.85,31.99,76.99,37.05,0.28
30,29.81,48.92,33.56,15.6,16.51,88.43,19.52,0.35
35,34.54,48.92,48.98,36.98,37.78,75.22,41.05,0.42
40,39.65,48.92,43.97,16.04,16.72,87.42,21.22,0.5
45,44.31,48.92,49.36,37.68,38.19,75.41,40.97,0.59
50,49.55,48.92,50.06,31.87,31.97,78.63,35.92,0.68
55,54.41,48.92,50.7,37.56,36.91,72.79,42.96,0.79
60,59.57,48.92,50.53,40.86,40.4,72.27,44.81,0.87
65,64.18,48.92,50.69,34.83,34.44,75.13,39.95,0.95
70,69.54,48.92,50.88,32.96,32.4,75.63,38.71,1.02
75,74.33,48.92,50.7,40.81,40.17,72.02,44.93,1.13
80,79.78,48.92,51.2,37.09,36.32,73.68,42.1,1.25
85,84.46,48.92,51.35,32.25,31.57,76.46,37.67,1.31
90,89.75,48.92,46.19,20.41,19.99,83.86,26.25,1.41
95,94.55,48.92,45.06,25.13,24.99,81.15,30.2,1.5
100,100,48.92,50.97,23.19,22.94,81.5,29.91,1.63
