size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,48.83,43.88,90,90,100,58.95,39.66
0.02,0.02,48.83,43.88,90,90,100,58.95,41.43
0.03,0.03,48.92,48.92,100,100,100,65.65,40.42
0.04,0.04,48.92,48.92,100,100,100,65.65,40.07
0.05,0.05,48.92,48.92,100,100,100,65.65,39.64
0.06,0.06,48.92,48.92,100,100,100,65.65,39.9
0.07,0.06,48.92,48.92,100,100,100,65.65,42
0.08,0.07,48.92,48.92,100,100,100,65.65,40.09
0.09,0.08,48.92,48.92,100,100,100,65.65,39.75
0.1,0.08,48.92,48.92,100,100,100,65.65,40
0.2,0.19,48.92,48.92,100,100,100,65.65,39.74
0.3,0.3,48.92,48.92,100,100,100,65.65,39.41
0.4,0.42,48.92,48.92,100,100,100,65.65,39.2
0.5,0.52,48.92,48.92,100,100,100,65.65,39.46
0.6,0.71,48.92,48.92,100,100,100,65.65,39.66
0.7,0.89,48.92,48.92,100,100,100,65.65,40
0.8,1.03,48.92,48.92,100,100,100,65.65,40.06
0.9,1.23,48.92,48.92,100,100,100,65.65,39.79
1,1.38,48.92,48.92,100,100,100,65.65,41.32
5,4.89,48.84,48.85,96.21,96.45,96.8,64.67,48.99
10,10.14,50.21,48.67,34.15,34.37,74.89,39.7,78.32
15,14.84,49.63,48.63,51.02,51.62,71.95,49.46,103.22
20,20,49.79,48.19,34.82,35.92,75.11,39.98,129.9
25,24.7,50.12,48.56,36.02,36.3,73.93,41.05,162.82
30,29.81,49.37,47.61,35.37,37.15,74.9,40.31,179.83
35,34.54,49.98,48.7,41.85,42.15,72.06,44.83,200.75
40,39.65,50.12,48.71,37.22,37.52,73.23,42.09,221.11
45,44.31,49.75,48.35,39.11,40.06,73.09,43.09,250.12
50,49.55,50.03,48.45,32.54,33.19,75.39,38.74,273.09
55,54.41,49.78,48.47,38.7,39.51,73.31,42.75,296.25
60,59.57,49.43,47.78,33.3,35.01,75.69,38.94,318.39
65,64.18,49.63,48.16,34.18,35.43,75.15,39.65,343.76
70,69.54,49.8,48.35,33.45,34.44,75.25,39.26,363.23
75,74.33,49.51,48.01,35.53,37,74.76,40.5,383.15
80,79.78,50.2,48.71,29.82,30.21,76.6,36.76,400.8
85,84.46,49.81,48.3,34.12,35.06,74.93,39.72,418.59
90,89.75,49.74,48,30.69,31.96,76.53,37.22,459.7
95,94.55,49.56,47.79,32.42,33.95,75.87,38.39,480.09
100,100,49.64,47.7,28.38,29.91,77.79,35.36,500.44
