size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.01,48.92,43.88,90,90,100,58.95,0
0.02,0.02,48.92,38.93,80,80,100,52.33,0
0.03,0.03,48.92,48.92,100,100,100,65.65,0
0.04,0.04,48.92,48.92,100,100,100,65.65,0
0.05,0.05,48.92,48.92,100,100,100,65.65,0
0.06,0.06,48.92,48.92,100,100,100,65.65,0.01
0.07,0.06,48.92,48.92,100,100,100,65.65,0.01
0.08,0.07,48.92,48.92,100,100,100,65.65,0.01
0.09,0.08,48.92,48.92,100,100,100,65.65,0.01
0.1,0.08,48.92,48.92,100,100,100,65.65,0.02
0.2,0.19,48.92,48.92,100,100,100,65.65,0.07
0.3,0.3,48.92,48.85,95.21,95.38,95.89,64.42,0.15
0.4,0.42,48.92,48.85,95.21,95.38,95.89,64.42,0.26
0.5,0.52,48.92,48.85,94.96,95.15,95.73,64.34,0.4
0.6,0.71,48.92,48.92,93.94,94.08,94.9,64.11,0.56
0.7,0.89,48.92,48.93,93.97,94.09,94.89,64.13,0.77
0.8,1.03,48.92,48.98,95.83,95.88,96.22,64.7,0.99
0.9,1.23,48.92,48.92,94.47,94.6,95.26,64.26,1.27
1,1.38,48.92,48.9,94.37,94.48,95.15,64.22,1.6
5,4.89,48.92,49.12,72.61,73.34,79.83,58.17,6.31
10,10.14,48.92,49,40.64,41.61,73.76,43.75,13.03
15,14.84,48.92,48.88,52.57,53.64,72.8,50.16,21.94
20,20,48.92,48.84,44.06,45.21,72.69,45.91,32.64
25,24.7,48.92,48.31,42.1,43.74,73.06,44.7,39.19
30,29.81,48.92,48.32,42.31,43.95,72.92,44.87,44.44
35,34.54,48.92,48.54,43.15,44.58,72.7,45.41,49.14
40,39.65,48.92,48.06,39.92,41.72,73.89,43.15,53.89
45,44.31,48.92,47.93,41.58,43.54,73.66,44.07,58.19
50,49.55,48.92,47.39,39.49,41.89,74.7,42.38,61.73
55,54.41,48.92,47.82,39.37,41.39,74.31,42.63,64.52
60,59.57,48.92,47.8,38.33,40.36,74.5,42.02,68.81
65,64.18,48.92,47.48,38.51,40.84,74.52,42.07,72.43
70,69.54,48.92,47.75,38.65,40.74,74.4,42.23,76.53
75,74.33,48.92,47.52,39.72,42.05,74.27,42.79,80.57
80,79.78,48.92,47.5,38.65,40.99,74.61,42.08,84.12
85,84.46,48.92,47.76,38.89,40.98,74.29,42.41,87.89
90,89.75,48.92,47.65,37.67,39.84,74.77,41.55,91.92
95,94.55,48.92,47.62,39.17,41.4,74.13,42.63,95.99
100,100,48.92,47.34,37.4,39.86,75.04,41.24,99.58
