size,loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.02,50.1,50,86.29,86.18,90.03,62.52,224.01
0.02,0.03,49.81,49.83,89.19,89.55,90.57,63.81,216.6
0.03,0.07,49.81,49.83,89.19,89.55,90.57,63.81,209.19
0.04,0.08,49.84,49.88,91.89,92.11,92.62,64.57,214.82
0.05,0.09,49.92,49.93,93.38,93.45,93.72,65.01,227.96
0.06,0.09,49.87,49.88,92.01,92.23,92.72,64.62,217.92
0.07,0.1,49.95,49.95,100,100,100,66.57,194.51
0.08,0.11,49.95,49.95,100,100,100,66.57,215.56
0.09,0.12,49.95,49.95,100,100,100,66.57,216.53
0.1,0.13,49.95,49.95,100,100,100,66.57,215.66
0.2,0.22,49.95,49.95,100,100,100,66.57,217.22
0.3,0.29,49.92,49.91,86.27,86.37,88.26,62.99,208.03
0.4,0.4,49.75,49.81,60.37,60.72,75.18,53.56,204.54
0.5,0.48,50.11,49.82,48.11,48.08,74.37,47.1,175.28
0.6,0.57,49.82,49.74,55.54,55.96,73.94,51.59,182.48
0.7,0.62,49.86,49.93,63.39,63.54,75.04,55.31,173.12
0.8,0.69,49.8,44.84,53,53.46,78.25,47.27,194.59
0.9,0.8,50.04,14.77,12.31,12.42,93.47,12.17,192.25
1,0.94,50,9.82,7.71,7.84,95.27,8.26,191.16
5,5.06,50.29,50.15,38.66,38.11,76.58,40.68,189.92
10,9.94,50.44,51.56,62.14,61.31,82.5,51.14,198.83
15,15,50.21,50.13,68.31,67.88,77.04,57.22,211.13
20,19.75,50.36,51.15,67.14,66.56,85.66,52.85,227.86
25,24.78,50.69,53.11,39.1,37.76,87.94,35.36,219.2
30,29.57,50.35,50.49,60.07,59.26,76.71,52.42,202.9
35,34.76,50.59,53.45,27.09,25.82,86.31,28.89,197.68
40,39.69,50.75,53.66,26.11,24.54,89.21,27.14,219.02
45,44.8,50.76,54.07,18.57,16.85,89.55,22.52,236.51
50,50.07,50.78,54.08,18.82,17.06,89.32,22.87,234.74
55,54.95,50.75,54,18.58,16.88,89.54,22.52,236.83
60,59.67,50.87,54.4,19.16,17.21,89,23.34,232.8
65,64.89,50.91,54.64,19.1,17.06,88.83,23.42,243.74
70,70.08,51.17,55.87,10.78,8.52,89.63,18.02,256.25
75,75.3,50.92,54.64,19.23,17.18,88.92,23.46,244.13
80,80.01,50.66,53.73,32.68,30.95,88.03,31.36,254.14
85,85.28,50.91,54.88,18.23,16.22,88.92,22.69,246.2
90,90.02,50.95,54.93,19.18,17.05,89.28,23.2,286.69
95,95.14,51.01,55.03,18.28,16.17,88.72,22.88,269.81
100,100,51.14,55.55,10.87,8.68,89.55,18.14,247.51
