size,loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.02,49.95,49.95,100,100,100,66.57,176.81
0.02,0.03,49.95,49.95,100,100,100,66.57,185.36
0.03,0.07,49.95,49.95,100,100,100,66.57,173.6
0.04,0.08,49.95,49.95,100,100,100,66.57,175.98
0.05,0.09,49.95,49.95,100,100,100,66.57,180.66
0.06,0.09,49.95,49.95,100,100,100,66.57,181.12
0.07,0.1,49.95,49.95,100,100,100,66.57,179.74
0.08,0.11,49.95,49.95,100,100,100,66.57,174.38
0.09,0.12,49.95,49.95,100,100,100,66.57,175.89
0.1,0.13,49.95,49.95,100,100,100,66.57,177.21
0.2,0.22,49.95,49.95,100,100,100,66.57,179.39
0.3,0.29,49.95,49.95,100,100,100,66.57,176.6
0.4,0.4,49.88,49.91,81.53,81.6,86.72,61.06,171.69
0.5,0.48,50.11,50.07,49.25,48.95,70.9,49.43,179.37
0.6,0.57,49.78,49.82,88.15,88.49,91,63.17,179.43
0.7,0.62,49.95,49.93,68.72,68.82,77.93,57.17,180.18
0.8,0.69,50.07,50.09,40.88,40.85,74.7,42.78,177.1
0.9,0.8,49.88,14.72,8.9,9.14,93,11.07,174.46
1,0.94,50.02,14.96,6.72,6.73,94.26,9.23,179.78
5,5.06,49.7,49.65,24.23,24.67,81.67,29.63,194.75
10,9.94,49.93,49.99,48.48,48.62,75.97,46.77,206.47
15,15,49.73,49.3,33.88,34.55,77.56,37.85,215.42
20,19.75,50.25,50.17,49.65,49.18,73.55,48.54,227.89
25,24.78,49.83,49.34,32.5,32.77,77.31,37.08,242.84
30,29.57,49.89,49.91,47.38,47.49,71.8,48.18,252.56
35,34.76,49.93,49.58,37.04,37.02,75.68,40.35,264.49
40,39.69,50.11,50.2,48.43,48.06,72,48.64,279.56
45,44.8,49.76,44.62,38.3,38.51,78.16,38.71,283.8
50,50.07,49.86,49.41,45.43,45.59,74.16,44.96,307.45
55,54.95,49.83,44.56,37.44,37.58,76.97,38.54,317.45
60,59.67,49.94,49.96,48.58,48.62,71.2,49.03,329.04
65,64.89,50.1,50.19,47.27,46.96,71.29,48.33,340.53
70,70.08,50,50.01,49.91,49.82,71.11,49.73,352.64
75,75.3,49.66,49.74,46.97,47.34,76.8,45.75,363.66
80,80.01,49.95,50.09,52.61,52.46,74.15,50.16,373.49
85,85.28,49.75,49.15,43.92,44.08,78.19,42.54,384.46
90,90.02,49.8,49.91,53,53.13,74.33,50.29,399.42
95,95.14,49.75,50.46,43.03,43.16,79.02,41.78,408.24
100,100,49.77,49.96,50.61,50.77,74.83,48.81,442.04
