size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0,50.57,50.57,100,100,100,67.13,108.55
0.02,0,50.57,50.57,100,100,100,67.13,118.87
0.03,0.01,50.5,50.54,99.1,99.21,99.23,66.89,106.68
0.04,0.02,50.2,50.43,90.08,90.55,91.43,64.52,104.05
0.05,0.04,49.65,50.13,83.66,85.14,87.32,62.48,97.66
0.06,0.04,50.22,50.88,64.54,64.76,83.55,53.68,100.6
0.07,0.05,50.19,50.65,60.24,60.14,78.68,52.92,100.34
0.08,0.07,49.99,50.41,69.13,69.73,85.56,55.39,101.34
0.09,0.08,49.95,50.22,83.78,84.78,88.14,62.31,106.35
0.1,0.21,50.13,50.39,87.22,87.84,88.95,63.78,116.96
0.2,0.27,49.39,49.95,82.63,84.68,88.49,61.69,116
0.3,0.34,49.39,49.96,88.54,90.72,91.53,63.82,113.46
0.4,0.41,49.32,49.93,92.19,94.54,94.98,64.7,110.29
0.5,0.47,49.49,50.03,92.95,94.95,95.34,64.97,113.89
0.6,0.55,49.49,50.02,94.02,96.05,96.38,65.22,105.53
0.7,0.6,49.68,50.11,95.57,97.26,97.52,65.67,104.22
0.8,0.79,49.85,50.2,96.41,97.76,98,65.94,101.24
0.9,0.86,50.57,50.57,100,100,100,67.13,108.1
1,0.96,50.57,50.57,100,100,100,67.13,106.07
5,4.58,50.57,50.57,100,100,100,67.13,105.25
10,9.54,50.43,50.85,59.34,58.74,72.32,54.47,122.75
15,14.09,50.57,50.57,100,100,100,67.13,121.64
20,19.41,50.83,51.41,54.04,52.43,71.74,51.96,127.35
25,23.91,50.48,50.53,96.92,97.05,97.33,66.33,115.99
30,29.44,50.64,51.3,51.47,50.23,71.02,50.87,126.91
35,34.08,50.52,50.65,89.36,89.12,90.36,64.42,130.06
40,39.2,50.79,51.78,45.3,43.61,72.28,47.23,123.39
45,42.82,50.21,50.41,86.55,87.04,89.09,63.41,121.38
50,48.6,50.59,51.52,46.52,45.08,71.81,47.95,131.93
55,53.02,50.25,50.57,75.4,75.4,80.01,60.29,131.99
60,58.32,50.71,51.44,49.97,48.59,71.04,50.16,134.39
65,62.81,50.42,50.62,81.46,81.3,84.22,62.17,139.99
70,69.22,50.84,51.58,49.9,48.12,71.31,49.87,141.94
75,74.28,50.05,50.5,73.33,73.67,81.36,58.91,140.64
80,79.16,50.61,51.45,45.96,44.62,72.72,47.33,147.94
85,83.64,50.34,50.76,70.77,70.44,78.31,58.48,138.96
90,89.17,51.14,51.89,46.5,44.15,71.12,48.23,157.91
95,94.31,50.1,50.42,78.67,79.19,82.95,61.17,146.42
100,100,50.27,50.98,46.44,45.69,71.24,48.14,154.8
