size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0,51.9,51.9,100,100,100,68.29,0.79
0.02,0,51.26,51.26,100,100,100,67.73,0.89
0.03,0.01,51.26,51.36,90.47,90.17,94,64.57,1.08
0.04,0.02,50.71,50.43,56.8,56.08,79.59,49.88,1.45
0.05,0.04,50.59,50.44,49.55,49.12,74.88,48.46,1.71
0.06,0.04,50.57,49.92,53.67,53.42,82.94,46.51,1.91
0.07,0.05,50.57,50.54,41.57,41.07,76.59,43.3,2.3
0.08,0.07,50.57,50.96,45.06,44.34,77.72,44.91,2.41
0.09,0.08,50.57,50.47,64.97,64.75,85.15,53,2.62
0.1,0.21,50.57,50.25,43.51,43.27,72.66,45.8,2.97
0.2,0.27,50.57,49.99,83.81,83.91,86.28,62.38,5.28
0.3,0.34,50.57,50.57,100,100,100,67.13,7.87
0.4,0.41,50.57,50.38,97.22,97.18,97.33,66.29,9.69
0.5,0.47,50.57,50.49,98.16,98.12,98.21,66.62,12.29
0.6,0.55,50.57,50.57,99.72,99.71,99.71,67.06,14.85
0.7,0.6,50.57,50.56,99.49,99.47,99.47,67,17.33
0.8,0.79,50.57,50.58,99.94,99.94,99.94,67.12,19.46
0.9,0.86,50.57,50.57,100,100,100,67.13,22.69
1,0.96,50.57,50.57,100,100,100,67.13,25.11
5,4.58,50.57,50.51,99.23,99.21,99.23,66.9,122.16
10,9.54,50.57,50.89,56.31,55.47,71.48,53.16,276.06
15,14.09,50.57,50.56,99.45,99.44,99.44,66.99,438.4
20,19.41,50.57,50.71,58.14,57.45,71.47,54.02,600.16
25,23.91,50.57,50.56,98.26,98.2,98.25,66.71,740.63
30,29.44,50.57,51.16,57.64,56.5,72.16,53.7,970.2
35,34.08,50.57,50.58,99.91,99.91,99.91,67.11,1208.68
40,39.2,50.57,50.95,55.79,54.87,71.24,52.98,1507.49
45,42.82,50.57,50.45,94.76,94.73,95.56,65.63,1755.83
50,48.6,50.57,51.61,51.46,49.86,69.6,51.48,2067.88
55,53.02,50.57,50.57,97.77,97.72,97.81,66.6,2355.51
60,58.32,50.57,51.83,52.14,50.31,69.45,51.93,2546.35
65,62.81,50.57,50.55,95.13,95,95.36,65.91,2769.13
70,69.22,50.57,51.98,53,51.02,69.4,52.42,3041.37
75,74.28,50.57,50.49,89.6,89.45,91.62,64.13,3339.49
80,79.16,50.57,51.68,51.81,50.13,69.56,51.69,3640.64
85,83.64,50.57,50.52,87.25,87.03,89.67,63.49,3831.69
90,89.17,50.57,51.87,52.93,51.07,69.59,52.3,4070.9
95,94.31,50.57,50.71,90.44,90.08,92.01,64.52,4411.78
100,100,50.57,51.71,52,50.3,69.53,51.8,4662.8
