size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0,50.57,50.57,100,100,100,67.13,105.78
0.02,0,50.57,50.57,100,100,100,67.13,119.72
0.03,0.01,50.52,50.55,99.31,99.4,99.41,66.95,123.29
0.04,0.02,50.44,50.54,94.43,94.56,94.79,65.77,113.85
0.05,0.04,50.2,50.43,89.75,90.25,91.1,64.45,111.13
0.06,0.04,49.95,50.4,83.08,83.94,87.35,62.2,115.32
0.07,0.05,49.65,50.14,72.31,73.55,81.56,58.39,116.09
0.08,0.07,49.81,50.24,81.56,82.69,87.11,61.5,113.63
0.09,0.08,49.87,50.28,86.81,87.83,89.61,63.4,116.43
0.1,0.21,50.13,50.39,89.96,90.63,91.38,64.5,121.42
0.2,0.27,49.78,50.18,93.64,95.08,95.46,65.25,106.27
0.3,0.34,50.22,50.4,99.2,99.89,99.9,66.79,107.29
0.4,0.41,50.57,50.57,100,100,100,67.13,119.06
0.5,0.47,50.57,50.57,100,100,100,67.13,127.38
0.6,0.55,50.57,50.57,100,100,100,67.13,126.7
0.7,0.6,50.57,50.57,100,100,100,67.13,120.99
0.8,0.79,50.57,50.57,100,100,100,67.13,112.19
0.9,0.86,50.57,50.57,100,100,100,67.13,115.28
1,0.96,50.57,50.57,100,100,100,67.13,116.63
5,4.58,50.57,50.57,100,100,100,67.13,126.08
10,9.54,50.43,50.94,56.45,55.63,72.67,52.86,133.37
15,14.09,50.57,50.57,100,100,100,67.13,143.86
20,19.41,50.12,50.72,50.21,49.88,71.39,50.07,165.21
25,23.91,50.57,50.57,99.87,99.88,99.88,67.1,168.83
30,29.44,50.62,51.35,47.85,46.46,71.75,48.77,185.56
35,34.08,50.47,50.53,99.04,99.22,99.23,66.87,192.33
40,39.2,50.59,51.13,52.79,51.62,71.3,51.44,205.73
45,42.82,50.41,50.52,96.66,96.88,96.99,66.29,210.88
50,48.6,50.82,51.61,45.62,43.79,70.16,48.22,222.73
55,53.02,50.4,50.52,94.1,94.3,94.52,65.69,233.26
60,58.32,51.01,52.05,41.81,39.51,70.88,46.04,235.45
65,62.81,50.38,50.51,93.39,93.61,93.9,65.5,248.8
70,69.22,50.58,51.45,42.18,40.76,71.2,46.08,261.27
75,74.28,50.2,50.43,91.94,92.47,92.93,65.05,266.11
80,79.16,50.52,51.27,45.38,44.15,70.84,47.81,281.58
85,83.64,50.43,50.54,93.38,93.49,93.8,65.52,288.83
90,89.17,50.39,51.2,44.19,43.16,71.34,47.03,285.61
95,94.31,50.22,50.46,88.99,89.41,90.21,64.31,296.95
100,100,50.06,50.97,39.84,39.37,72.7,44.21,312.73
