size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0,50.57,50.57,100,100,100,67.13,0.35
0.02,0,50.57,50.57,100,100,100,67.13,1.54
0.03,0.01,50.57,50.57,100,100,100,67.13,1.62
0.04,0.02,50.57,50.57,100,100,100,67.13,1.78
0.05,0.04,50.57,50.01,65.15,65.19,77.21,55.69,5.98
0.06,0.04,50.57,49.94,63.02,63.1,75.4,55.08,5.98
0.07,0.05,50.57,50.08,70.57,70.59,79.72,57.71,7.35
0.08,0.07,50.57,49.9,68.18,68.32,80.27,56.12,10.41
0.09,0.08,50.57,49.97,81.53,81.54,85.36,61.45,10.69
0.1,0.21,50.57,49.92,80.3,80.34,87.02,60.2,11.1
0.2,0.27,50.57,49.94,88.76,88.82,89.98,63.76,16.61
0.3,0.34,50.57,49.94,90.08,90.16,91.11,64.11,19.93
0.4,0.41,50.57,50.04,93.31,93.34,93.71,65.07,22.47
0.5,0.47,50.57,50.05,94.16,94.17,94.4,65.31,26.94
0.6,0.55,50.57,50.06,94.29,94.3,94.53,65.34,30.66
0.7,0.6,50.57,50.08,94.42,94.43,94.66,65.39,36.78
0.8,0.79,50.57,50.08,94.42,94.43,94.66,65.39,41
0.9,0.86,50.57,50.08,94.74,94.75,94.93,65.47,47.35
1,0.96,50.57,50.08,94.82,94.82,95,65.49,52.98
5,4.58,50.57,50.09,96.07,96.08,96.19,65.79,504.36
10,9.54,50.57,51.13,58.09,57.06,78.47,51.86,602.03
15,14.09,50.57,50.43,96.66,96.63,96.71,66.23,679.41
20,19.41,50.57,51.07,57.43,56.48,77.11,52.02,765.71
25,23.91,50.57,50.46,97.31,97.28,97.33,66.41,854.45
30,29.44,50.57,51.55,50.48,49.01,74.19,49.42,953.38
35,34.08,50.57,50.48,96.53,96.48,96.57,66.24,1001.52
40,39.2,50.57,50.82,59.78,59.09,78.61,52.67,1099.29
45,42.82,50.57,50.4,95.86,95.82,95.95,66.01,1162.42
50,48.6,50.57,51.06,51.43,50.6,78.69,48.08,1271.58
55,53.02,50.57,50.41,95.94,95.9,96.01,66.04,1389.2
60,58.32,50.57,51.37,45.64,44.43,75.4,46.28,1473.06
65,62.81,50.57,50.42,96.61,96.57,96.66,66.21,1490.05
70,69.22,50.57,52.51,38.79,37.47,78.68,40.68,1562.39
75,74.28,50.57,50.39,96.29,96.26,96.36,66.11,1623.38
80,79.16,50.57,52.1,39.04,37.54,78,41.58,1696.4
85,83.64,50.57,50.42,96.88,96.86,96.93,66.28,1798.36
90,89.17,50.57,51.68,43.1,41.75,76.31,44.48,1866.79
95,94.31,50.57,50.39,96.46,96.44,96.53,66.15,1897
100,100,50.57,52.08,37.91,36.42,78.46,40.67,1991.54
