size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.02,48.83,43.88,90,90,100,58.95,40.67
0.02,0.02,49.06,49.01,88.02,87.81,94.69,61.06,40.75
0.03,0.02,49.46,48.89,65.42,65.42,83.08,53.31,46.12
0.04,0.02,49.11,48.99,88.4,88.19,92.48,61.96,44.47
0.05,0.03,49.01,48.9,91.31,91.34,94.92,62.75,42.16
0.06,0.04,49,48.94,97.72,97.62,97.67,65.16,40.31
0.07,0.04,48.98,48.93,97.97,97.92,97.96,65.21,40.51
0.08,0.05,48.98,48.93,97.97,97.92,97.96,65.21,39.85
0.09,0.05,48.98,48.93,97.97,97.92,97.96,65.21,39.95
0.1,0.05,48.98,48.93,97.97,97.92,97.96,65.21,40.15
0.2,0.18,49.21,49.01,92.42,92.1,92.67,63.92,41.97
0.3,0.29,49.97,49.19,73.99,73.14,79.06,58.7,42.65
0.4,0.35,49.8,49.19,84.02,83.09,85.18,61.88,42.72
0.5,0.46,50.2,49.21,55.94,55.38,72.17,51.92,40.68
0.6,0.58,49.9,49.11,59.49,59.08,73.94,53.04,41.35
0.7,0.71,49.06,48.62,73.97,74.76,80.86,58.19,41.14
0.8,0.77,49.96,49.14,72.5,71.78,78.21,58.22,40.12
0.9,0.89,49.86,48.91,58.63,58.6,74.39,52.54,39.68
1,0.98,49.7,49.01,68.64,68.48,78.15,56.38,42.05
5,5.55,49.71,48.96,57.64,57.62,74.57,51.8,41.09
10,10.55,50.16,48.96,40.44,40.41,75.3,42.5,42.92
15,15.75,49.88,48.83,44.99,45.22,74.99,45.09,41.86
20,21.24,50.04,48.61,39.72,39.96,74.97,42.13,43.77
25,26.32,50.36,49.1,41.61,41.25,74.46,43.43,43.35
30,30.86,49.77,48.54,40.67,41.37,75.72,42.55,43.61
35,36.02,50.42,49.27,41.01,40.49,72.04,44.43,45.14
40,40.2,51.25,50.21,35.02,33.26,73.71,40.58,46.59
45,45.22,50.98,49.99,35.8,34.47,73.56,41.31,44.63
50,50.16,50.03,48.87,41.97,42.29,73.23,44.44,45.64
55,54.9,50.75,49.78,36.64,35.56,73.58,41.5,48.41
60,60,50.77,49.91,37.91,36.7,74.17,41.73,50.02
65,64.51,51.66,51.15,34.78,32.11,73.69,40.62,48.45
70,69.59,51.47,50.84,33.46,31.12,74.3,39.61,49.33
75,74.6,51.28,50.43,35.95,33.99,74.76,40.58,50.73
80,79.87,51.15,50.22,34.02,32.35,74.16,40.02,50.21
85,84.95,51.5,50.75,36.85,34.39,72.35,42.34,50.75
90,89.76,51.35,50.59,33.7,31.67,74.25,39.75,52.26
95,94.79,51.67,51.32,29.92,27.54,75.89,37.17,54.01
100,100,51.21,50.26,34.48,32.69,74.05,40.23,56.41
