size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.02,50.39,45.61,90,90,100,60.48,0.42
0.02,0.02,49.66,39.32,80,80,100,52.69,0.46
0.03,0.02,49.29,49.49,80.03,80.2,88.88,58.92,0.66
0.04,0.02,49.19,49.3,92.25,92.34,93.04,64.1,0.72
0.05,0.03,49.05,49.37,81.64,81.68,87.6,60.34,0.82
0.06,0.04,48.96,49.11,93.08,93.19,93.75,64.15,0.93
0.07,0.04,48.9,48.9,100,100,100,65.64,1.07
0.08,0.05,48.9,48.9,100,100,100,65.64,1.21
0.09,0.05,48.9,48.9,100,100,100,65.64,1.28
0.1,0.05,48.9,48.9,100,100,100,65.64,1.42
0.2,0.18,48.92,49.15,93.76,93.83,94.28,64.35,2.55
0.3,0.29,48.92,49.23,82.68,83.09,86.13,61.36,3.44
0.4,0.35,48.92,49.12,93.89,93.97,94.51,64.33,4.7
0.5,0.46,48.92,48.94,68.68,69.5,77.87,56.66,5.67
0.6,0.58,48.92,48.67,60.19,61.35,75.82,53.01,6.78
0.7,0.71,48.92,48.49,80.19,81.11,85.8,59.81,7.77
0.8,0.77,48.92,48.82,90.14,90.63,91.86,63.13,9.15
0.9,0.89,48.92,49.18,70.55,71.24,78.31,57.61,9.86
1,0.98,48.92,49.2,75.32,75.87,81.98,58.92,11.07
5,5.55,48.92,49.26,77.97,78.35,83.07,59.86,53.93
10,10.55,48.92,48.56,37.8,39.06,74.64,41.79,110.19
15,15.75,48.92,49.47,57.56,58.07,72.82,52.89,162.26
20,21.24,48.92,48.09,43.98,45.84,73.29,45.57,222.14
25,26.32,48.92,48.62,30.85,31.99,76.99,37.05,288.42
30,30.86,48.92,33.56,15.6,16.51,88.43,19.52,345.77
35,36.02,48.92,48.98,36.98,37.78,75.22,41.05,433.12
40,40.2,48.92,43.97,16.04,16.72,87.42,21.22,531.01
45,45.22,48.92,49.36,37.68,38.19,75.41,40.97,608.21
50,50.16,48.92,50.06,31.87,31.97,78.63,35.92,688.25
55,54.9,48.92,50.7,37.56,36.91,72.79,42.96,782.34
60,60,48.92,50.53,40.86,40.4,72.27,44.81,861.79
65,64.51,48.92,50.69,34.83,34.44,75.13,39.95,935.15
70,69.59,48.92,50.88,32.96,32.4,75.63,38.71,1059.69
75,74.6,48.92,50.7,40.81,40.17,72.02,44.93,1196.38
80,79.87,48.92,51.2,37.09,36.32,73.68,42.1,1273.08
85,84.95,48.92,51.35,32.25,31.57,76.46,37.67,1384.92
90,89.76,48.92,46.19,20.41,19.99,83.86,26.25,1443.62
95,94.79,48.92,45.06,25.13,24.99,81.15,30.2,1602.32
100,100,48.92,50.97,23.19,22.94,81.5,29.91,1710.87
