size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.02,48.83,43.88,90,90,100,58.95,47.31
0.02,0.02,49.06,49.01,87.65,87.43,94.92,60.73,49.19
0.03,0.02,49.05,48.44,71.68,72.52,86.85,55.28,47.54
0.04,0.02,49,48.91,94.83,94.81,95.26,64.4,47.26
0.05,0.03,49.03,48.94,94.94,94.86,95.55,64.38,49.94
0.06,0.04,48.97,48.92,98.02,98,98.05,65.21,47.54
0.07,0.04,48.95,48.93,99.62,99.57,99.58,65.58,47.43
0.08,0.05,48.9,48.91,99.74,99.78,99.78,65.59,47.98
0.09,0.05,48.92,48.92,100,100,100,65.65,45.13
0.1,0.05,48.92,48.92,100,100,100,65.65,46.66
0.2,0.18,48.98,48.94,99.26,99.17,99.18,65.51,52.89
0.3,0.29,48.89,48.83,92.49,92.82,93.27,63.82,50.19
0.4,0.35,48.83,48.83,96.3,96.63,96.75,64.74,47.27
0.5,0.46,49.95,49.25,76.74,75.72,79.51,59.88,46.04
0.6,0.58,49.4,48.77,69.26,69.64,76.66,57.05,45.83
0.7,0.71,49.06,48.77,83.31,83.79,86.31,61.27,51.64
0.8,0.77,49.12,48.82,84.05,84.37,86.2,61.64,47.81
0.9,0.89,49.74,49.17,79.4,78.63,81.5,60.62,48.94
1,0.98,49.36,49.01,83.65,83.47,85.54,61.62,46.62
5,5.55,49.4,48.88,75.84,75.94,80.4,59.22,49.67
10,10.55,50.06,48.72,37.8,38.15,73.32,42.31,51.61
15,15.75,50.04,48.95,50.13,49.99,71.69,49.07,53.08
20,21.24,50.14,48.45,30.64,31.22,76.78,36.93,56.29
25,26.32,50.53,49.18,33.17,32.8,75.59,38.76,59.7
30,30.86,50.35,49.08,32.84,32.73,75.64,38.52,60.16
35,36.02,50.6,49.42,42.5,41.58,72.01,45.11,60.52
40,40.2,50.87,49.73,34.49,33.32,74.01,40.26,61.5
45,45.22,51.08,50.16,38.47,36.83,72.34,43.17,63
50,50.16,50.9,49.77,31.14,30.12,75.94,37.67,63.79
55,54.9,51.09,50.12,37.31,35.6,73.13,42.02,68.3
60,60,51.23,50.45,34.3,32.46,73.82,40.36,70.98
65,64.51,51.37,50.61,37.97,35.66,72.39,42.75,67.65
70,69.59,51.53,51.3,33.94,31.43,74.2,39.89,70.88
75,74.6,51.53,51.03,38.77,36.09,72.33,43.2,79.45
80,79.87,51.52,51.37,33.61,31.17,74.34,39.64,77.05
85,84.95,51.25,50.54,34.01,32.13,73.87,40.2,73.2
90,89.76,51.55,50.92,31.92,29.61,74.78,38.78,77.57
95,94.79,51.41,50.58,35.36,33.16,73,41.33,80.64
100,100,51.79,51.45,28.93,26.25,75.92,36.82,84.4
