size, loc, accuracy, precision, recall, fa, d2h, f1, time
0.01,0.02,48.92,43.88,90,90,100,58.95,0.2
0.02,0.02,48.92,38.93,80,80,100,52.33,0.23
0.03,0.02,48.92,48.92,100,100,100,65.65,0.27
0.04,0.02,48.92,48.92,100,100,100,65.65,0.34
0.05,0.03,48.92,48.92,100,100,100,65.65,1.63
0.06,0.04,48.92,48.92,100,100,100,65.65,1.53
0.07,0.04,48.92,48.92,100,100,100,65.65,1.63
0.08,0.05,48.92,48.92,100,100,100,65.65,1.68
0.09,0.05,48.92,48.92,100,100,100,65.65,1.8
0.1,0.05,48.92,48.92,100,100,100,65.65,4.89
0.2,0.18,48.92,48.92,99.19,99.17,99.21,65.46,14.67
0.3,0.29,48.92,49.01,96.77,96.85,96.97,65,18.81
0.4,0.35,48.92,49.08,96.31,96.35,96.6,64.92,20.66
0.5,0.46,48.92,49.11,89.3,89.53,90.78,63.15,24.71
0.6,0.58,48.92,49.05,88.4,88.75,89.88,62.95,25.79
0.7,0.71,48.92,49.12,88.48,88.8,89.88,63.03,27.93
0.8,0.77,48.92,49.18,88.54,88.8,89.89,63.08,29.48
0.9,0.89,48.92,49.18,88.27,88.55,89.71,63.01,29.5
1,0.98,48.92,49.18,88.27,88.55,89.71,63.01,31.25
5,5.55,48.92,49.31,85.74,86.03,87.79,62.41,39.45
10,10.55,48.92,49.31,85.74,86.03,87.79,62.41,38.37
15,15.75,48.92,49.31,85.74,86.03,87.79,62.41,39.97
20,21.24,48.92,49.31,85.74,86.03,87.79,62.41,39.32
25,26.32,48.92,49.31,85.74,86.03,87.79,62.41,40.23
30,30.86,48.92,49.31,85.74,86.03,87.79,62.41,39.31
35,36.02,48.92,49.31,85.74,86.03,87.79,62.41,39.2
40,40.2,48.92,49.31,85.74,86.03,87.79,62.41,40.33
45,45.22,48.92,49.31,85.74,86.03,87.79,62.41,40.74
50,50.16,48.92,49.31,85.74,86.03,87.79,62.41,40.51
55,54.9,48.92,49.31,85.74,86.03,87.79,62.41,38.47
60,60,48.92,49.31,85.74,86.03,87.79,62.41,40.93
65,64.51,48.92,49.31,85.74,86.03,87.79,62.41,38.53
70,69.59,48.92,49.31,85.74,86.03,87.79,62.41,39.39
75,74.6,48.92,49.31,85.74,86.03,87.79,62.41,39.85
80,79.87,48.92,49.31,85.74,86.03,87.79,62.41,42.03
85,84.95,48.92,49.31,85.74,86.03,87.79,62.41,39.2
90,89.76,48.92,49.31,85.74,86.03,87.79,62.41,41.62
95,94.79,48.92,49.31,85.74,86.03,87.79,62.41,38.83
100,100,48.92,49.31,85.74,86.03,87.79,62.41,40.9
