data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 48.83, 48.43, 65.50, 66.91, 75.28, 55.64, 1, 1.95
0.02, 48.83, 48.45, 57.45, 58.96, 72.71, 52.51, 0, 1.92
0.03, 48.83, 48.56, 66.95, 68.21, 75.80, 56.24, 1, 2.46
0.04, 48.83, 48.46, 72.07, 73.29, 78.43, 57.91, 0, 3.29
0.05, 48.83, 48.46, 72.07, 73.29, 78.43, 57.91, 0, 4.25
0.06, 48.83, 48.68, 78.37, 79.25, 82.15, 60.01, 0, 4.58
0.07, 48.83, 47.87, 18.96, 20.30, 83.55, 27.12, 0, 5.41
0.08, 48.83, 48.77, 85.47, 86.07, 87.29, 62.06, 1, 5.90
0.09, 48.83, 48.72, 83.45, 84.15, 85.76, 61.47, 1, 6.52
0.1, 48.83, 48.65, 73.20, 74.25, 78.94, 58.40, 1, 7.20
0.2, 48.83, 48.44, 67.45, 68.81, 76.12, 56.34, 0, 14.74
0.3, 48.83, 48.74, 70.34, 71.38, 77.30, 57.53, 1, 22.39
0.4, 48.83, 48.36, 41.40, 43.00, 72.69, 44.56, 2, 28.88
0.5, 48.84, 47.92, 43.32, 45.38, 72.61, 45.45, 2, 36.05
0.6, 48.83, 47.78, 50.83, 53.04, 72.33, 49.21, 1, 42.43
0.7, 48.83, 48.47, 78.18, 79.21, 82.16, 59.79, 0, 48.80
0.8, 48.83, 48.23, 46.52, 48.29, 72.05, 47.31, 2, 56.00
0.9, 48.83, 48.47, 80.73, 81.67, 83.91, 60.53, 0, 63.74
1, 48.83, 48.18, 63.51, 65.17, 74.70, 54.75, 0, 71.11
5, 48.83, 48.41, 57.88, 59.42, 72.84, 52.67, 0, 401.49
10, 48.83, 48.93, 47.70, 48.77, 71.51, 48.26, 2, 1063.78
15, 48.83, 49.12, 59.13, 59.98, 72.58, 53.61, 3, 1758.52
20, 48.83, 48.23, 22.97, 24.25, 80.75, 31.08, 0, 2507.78
25, 48.83, 49.45, 34.42, 34.92, 74.30, 40.54, 0, 3269.18
30, 48.83, 49.13, 6.78, 7.01, 93.48, 11.90, 0, 4000.86
35, 48.83, 48.24, 11.52, 12.26, 89.32, 18.57, 0, 4787.64
40, 48.83, 50.26, 28.03, 27.82, 77.16, 35.94, 0, 5506.54
45, 48.83, 50.21, 26.12, 25.96, 78.31, 34.32, 0, 6222.00
50, 48.83, 50.27, 22.18, 21.99, 80.87, 30.74, 0, 6957.89
55, 48.83, 50.35, 22.30, 22.06, 80.77, 30.87, 0, 7728.39
60, 48.83, 50.18, 23.69, 23.57, 79.86, 32.15, 0, 8450.63
65, 48.83, 50.33, 23.89, 23.65, 79.70, 32.35, 0, 9199.80
70, 48.83, 49.48, 41.26, 41.76, 72.07, 44.95, 0, 9960.05
75, 48.83, 51.25, 3.95, 3.76, 96.13, 7.31, 0, 10705.87
80, 48.83, 49.97, 24.03, 24.05, 79.68, 32.41, 0, 11771.08
85, 48.83, 49.59, 26.51, 26.83, 78.23, 34.51, 0, 12134.55
90, 48.83, 50.36, 22.04, 21.79, 80.95, 30.61, 0, 12828.44
95, 48.83, 49.97, 23.98, 24.00, 79.72, 32.37, 0, 13557.44
100, 48.83, 53.33, 2.31, 2.03, 97.71, 4.42, 0, 14250.47
