data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 50.41, 50.22, 51.46, 51.24, 70.58, 50.78, 4, 1.03
0.02, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 1.28
0.03, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 1.71
0.04, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 2.03
0.05, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 3.32
0.06, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 3.32
0.07, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 4.10
0.08, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 4.02
0.09, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 4.29
0.1, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 5.02
0.2, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 8.51
0.3, 50.41, 50.56, 95.51, 95.41, 95.52, 66.07, 4, 13.31
0.4, 50.41, 50.23, 55.55, 55.32, 70.97, 52.71, 3, 18.04
0.5, 50.41, 49.20, 41.88, 42.66, 72.10, 45.19, 3, 22.49
0.6, 50.41, 50.41, 100.00, 100.00, 100.00, 66.98, 0, 26.64
0.7, 50.41, 50.23, 55.55, 55.32, 70.97, 52.71, 3, 30.49
0.8, 50.41, 50.54, 54.29, 53.75, 70.56, 52.30, 2, 34.87
0.9, 50.41, 0.00, 0.00, 0.00, 100.00, 0.00, 12, 40.62
1, 50.41, 0.00, 0.00, 0.00, 100.00, 0.00, 12, 43.66
5, 50.39, 52.02, 23.41, 21.99, 79.69, 32.24, 11, 226.63
10, 50.41, 50.61, 52.07, 51.46, 70.32, 51.28, 7, 486.98
15, 50.41, 50.03, 39.46, 39.42, 72.25, 44.07, 11, 859.85
20, 50.41, 50.61, 52.07, 51.46, 70.32, 51.28, 7, 1321.38
25, 50.41, 50.66, 46.62, 45.97, 70.44, 48.51, 4, 1756.93
30, 50.41, 50.74, 46.82, 46.09, 70.37, 48.65, 4, 2330.60
35, 50.41, 50.87, 39.86, 39.03, 71.69, 44.65, 4, 2723.00
40, 50.41, 50.99, 41.37, 40.41, 71.21, 45.63, 4, 3340.82
45, 50.41, 50.99, 41.37, 40.41, 71.21, 45.63, 4, 3684.98
50, 50.41, 50.53, 50.45, 49.92, 70.34, 50.44, 4, 4107.58
55, 50.41, 50.99, 41.37, 40.41, 71.21, 45.63, 4, 4581.25
60, 50.41, 51.15, 41.57, 40.46, 71.07, 45.82, 5, 5180.14
65, 50.41, 51.67, 35.87, 34.35, 72.75, 42.30, 5, 5692.17
70, 50.41, 51.57, 38.14, 36.67, 71.91, 43.80, 4, 6379.55
75, 50.41, 51.56, 37.49, 36.04, 72.16, 43.36, 4, 6814.38
80, 50.41, 52.84, 19.22, 17.52, 82.65, 28.15, 11, 7287.19
85, 50.41, 52.88, 19.42, 17.68, 82.49, 28.37, 11, 7631.94
90, 50.41, 52.88, 19.42, 17.68, 82.49, 28.37, 11, 7878.63
95, 50.41, 52.83, 20.28, 18.51, 81.84, 29.27, 11, 8309.04
100, 50.41, 52.83, 20.28, 18.51, 81.84, 29.27, 11, 8766.64
