data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 51.82, 51.82, 100.00, 100.00, 100.00, 68.22, 0, 1.39
0.02, 51.67, 51.67, 100.00, 100.00, 100.00, 68.09, 0, 0.40
0.03, 51.67, 51.67, 100.00, 100.00, 100.00, 68.09, 0, 0.31
0.04, 51.72, 52.02, 58.31, 56.33, 70.08, 54.93, 38, 0.31
0.05, 51.72, 51.81, 42.35, 40.59, 70.51, 46.56, 49, 0.32
0.06, 51.72, 50.97, 90.87, 90.55, 91.00, 65.26, 2, 0.30
0.07, 51.72, 54.10, 31.50, 28.07, 74.03, 39.77, 1, 0.29
0.08, 51.72, 54.55, 22.20, 19.21, 80.13, 31.52, 1, 0.28
0.09, 51.72, 54.55, 22.20, 19.21, 80.13, 31.52, 1, 0.29
0.1, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.26
0.2, 51.72, 51.01, 76.56, 75.83, 79.37, 61.18, 0, 0.25
0.3, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.23
0.4, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.23
0.5, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.23
0.6, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.23
0.7, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.23
0.8, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.23
0.9, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.23
1, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.23
5, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.24
10, 51.72, 51.18, 48.03, 46.85, 69.97, 49.50, 38, 0.25
15, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.26
20, 51.72, 51.51, 89.64, 89.06, 89.66, 65.38, 8, 0.26
25, 51.72, 51.82, 99.75, 99.73, 99.73, 68.16, 0, 0.30
30, 51.72, 52.96, 54.44, 51.49, 68.75, 53.64, 42, 0.32
35, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.34
40, 51.72, 50.88, 47.78, 46.91, 70.19, 49.23, 44, 0.36
45, 51.72, 51.67, 99.51, 99.47, 99.47, 67.97, 4, 0.37
50, 51.72, 50.88, 47.78, 46.91, 70.19, 49.23, 44, 0.37
55, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.39
60, 51.72, 50.92, 47.94, 47.03, 70.15, 49.34, 44, 0.40
65, 51.72, 51.72, 100.00, 100.00, 100.00, 68.14, 0, 0.41
70, 51.72, 53.09, 50.90, 47.81, 68.53, 51.92, 41, 0.42
75, 51.72, 51.91, 68.17, 66.49, 73.72, 58.89, 28, 0.42
80, 51.72, 50.90, 49.10, 48.20, 70.10, 49.93, 43, 0.43
85, 51.72, 51.63, 98.93, 98.86, 98.87, 67.81, 2, 0.43
90, 51.72, 52.90, 50.25, 47.35, 68.68, 51.49, 41, 0.44
95, 51.72, 51.65, 99.18, 99.12, 99.13, 67.88, 2, 0.44
100, 51.72, 52.96, 50.08, 47.13, 68.65, 51.43, 41, 0.44
